,post,targetStereotype,targetMinority
3825,Why shouldn't men hit their wives ? When you damage your property it loses value.,"[""women are defined by their men."", ""women are inferior to men."", ""women are not equal to men"", ""women are property"", ""women exist to please men/belong to men""]","[""women""]"
3828,Why was 6 afraid of 7 Because 7 was a nigger,"[""black folks are something to be scared of"", ""black folks should be called names"", ""black people were called niggers"", ""nigger is a derogatory term for black people""]","[""black folks""]"
3831,Why was six afraid of seven? Because seven was black,"[""are scary"", ""black people are violent"", ""blacks are criminals"", ""blacks are scary"", ""blacks are violent"", ""make people scared""]","[""black folks""]"
3832,Why was six afraid on seven? Because seven is black,"[""are scary"", ""black people are dangerous"", ""black people are to be feared"", ""make people feel scared""]","[""black folks""]"
3833,Why was the Chinese dude confused while going down on his girl? It was different from the pussy he normally ate.,"[""asians eat cats"", ""asians eat stray animals"", ""chinese people eat cats"", ""eats cats and dogs."", ""have no taste in food.""]","[""asian folks"", ""chinese people""]"
3834,Why was the black guy scared of a chainsaw? Cause it went RUNN-NIGGANIGGANIGGANIGGA,"[""black folks are n*ggers"", ""black folks are scared of a lot of things"", ""black folks are stupid"", ""black folks deserve violence"", ""blacks are murdered"", ""blacks are to be killed""]","[""black folks""]"
3835,"Why was the pastor bad at slang? He took the saying, ""I feel you"" too literal.","[""christian religious leaders are bad people"", ""christian religious leaders molest people"", ""christians accept pedophilia"", ""pastors abuse people"", ""pastors are pedophiles"", ""pastors are sexual predators""]","[""christian folks""]"
3836,"Why wasn’t Luke Skywalker black? Because, he found his father","[""black dads run out"", ""black kids don't have dads"", ""black men abandon their kids"", ""don't have dads"", ""don't know their fathers"", ""have bad families""]","[""black folks""]"
3838,Why were the slaves black? You can see them better in the cotton fields.,"[""black folks are less than others"", ""black folks are only good for labor"", ""black folks are property"", ""black folks perceived as slaves"", ""black people are meant to be slaves"", ""black people should do manual labor""]","[""black folks""]"
3840,Why would you watch porn... When there's an elementary school right down the road.,"[""kids are molested"", ""pedophiles target kids"", ""trivializes harm to victims""]","[""child molestation victims"", ""kids""]"
3842,Why'd the dog bark? Because a nigger was raping a child,"[""black folks are n*ggers"", ""black folks are rapists/pedophiles"", ""black folks are violent"", ""black people are rapists"", ""blacks are criminals""]","[""black folks""]"
3847,"Wish I could reply with gifs. @ThisIsFNW I hate when women want to be men. It's not sexist, it's biology. Were just different, accept it.","[""women are different from men."", ""women can't be equal"", ""women can't do what men can"", ""women should not want to be men"", ""women should stay in their own lane."", ""women should stay women""]","[""trans women"", ""women""]"
3852,"Woman makes a surprising comment about how men should behave, unknowingly being massively hypocritical if a man were to say the same thing about breast feeding.","[""women are hypocrites"", ""women are hypocrites."", ""women don't know how bad men have it"", ""women should keep their opinions to themselves.""]","[""women""]"
3854,"Women Hate Men Who Care About Them
It seems like they just want to be used because they like being dominated.","[""women do not want to be loved"", ""women hate men."", ""women like being dominated"", ""women like being used"", ""women want to be controlled."", ""women want to be dominated""]","[""women""]"
3855,Women are like nicotine : you don't actually need one to live but it FEELS like you need one to survive.,"[""objectifies women"", ""women are unnecessary""]","[""women""]"
3856,"Women are like wine: I can only afford the really cheap ones that have the big, ugly boxes that leak.","[""they are cheap"", ""they are ugly"", ""women are only good for sex."", ""women only want money.""]","[""women""]"
3857,Women are now against the draft since women will be included soon,"[""women are hypocrites."", ""women don't care about men.""]","[""women, lesbian women, trans women, bisexual women""]"
3858,Women deserve equal rights. And Other Hilarious Jokes You Can Tell Yourself,"[""are lesser people"", ""are property"", ""are worthless"", ""women are not intelligent"", ""women aren't equal to men"", ""women don't deserve equal rights""]","[""women""]"
3859,"Women don't like being treated equally to men, sees having to pay child support as oppression.","[""women dont think they should pay child support"", ""women use men for child support""]","[""women""]"
3860,Women in /r/askwomen blame men for their lack of college degrees.,"[""women are uneducated"", ""women blame everything on men"", ""women blame men"", ""women blame men for their problems"", ""women don't have college degrees"", ""women don't take responsibility for their own failures""]","[""women""]"
3861,Women just keep coming to me and I just keep raping them. They trust this police uniform way too much.,"[""all cops are bad."", ""all cops are rapist."", ""rape of weaker sex."", ""women get raped"", ""women trust men in uniform."", ""women trust police""]","[""police"", ""women""]"
3862,Women love being treated like pieces of meat by attractive men,"[""women are irrational"", ""women are shallow"", ""women are sluts"", ""women only date assholes""]","[""women""]"
3863,"Women think sub8 men are creepy; women give birth to sub8 men; therefore women think their sub8 sons are creepy
Women are the shittiest people ever to exist.","[""women are judgmental."", ""women hate men."", ""women hate their sons"", ""women think all men are creepy""]","[""women""]"
3869,Would it not be better to sack the black workers and employ Whites from the camps .,"[""black folks should be discriminated against"", ""black people are inferior to white people"", ""black people should be replaced""]","[""black folks""]"
3870,Would the police release evidence of Marc Lépine and Elliot Rodger being baited and goaded by feminists?,"[""feminists are incompetent"", ""feminists have an evil agenda""]","[""feminists""]"
3872,"Wow, look at all these black kids. Hey, I bet they all have the same dad. All black people are totally related.","[""black families always have single mothers"", ""black folks are all the same"", ""black folks have a lot of kids"", ""black males have kids with numerous partners"", ""black people are not monogamous"", ""black people are sluts""]","[""black folks""]"
3886,Yall black ass hoes aint east African,"[""black people act like something they aren't"", ""black people are lesser"", ""women are hoes"", ""women are lesser""]","[""black folks"", ""women""]"
3887,Yall need to chill. Racism is a crime. And crime is for black people,"[""black people are criminals"", ""black people are less than human"", ""black people commit crimes"", ""black people go to jail more"", ""blacks are criminals""]","[""black folks""]"
3897,"Yeah, child labor IS illegal. Unless you mean ""women""? @plaster_cole Girls should not be allowed to be commentators for football games","[""should not be involved in sport games"", ""should not talk about sports"", ""women are dumb"", ""women are just property"", ""women dont know sports"", ""women shouldn't play sports""]","[""women""]"
3899,"Yeah, it's like when black people dye their hair blonde and wear neon colors. It just doesn't work!","[""are limited in fashion"", ""black people shouldn't dye their hair light."", ""black people shouldn't wear bright colors"", ""blacks are sjws"", ""blacks dye their hair off colors for attention"", ""sgould have dark hair""]","[""black folks""]"
3904,Yes the negroes have been busy the last few weeks but we have to expect it because nothing is being done to them when a crime is committed,"[""black folks are criminals"", ""black folks are toxic"", ""black people are criminals"", ""black people are thugs"", ""black people are unwanted"", ""black people can do what they want without getting arrested""]","[""black folks""]"
3908,"Yes, for too long Whites have remained absolutely silent about the establishment and its media welcoming everyone else 's community profile but theirs .","[""non-whites get special treatment from establishment."", ""the media plays to non-whites.""]","[""Non-whites""]"
3911,"Yes, that 's what I tell Black prostitutes in my neck of the woods when the accost me for a good time !","[""black folks are poor"", ""black folks have demeaning jobs"", ""black people have no morals""]","[""black folks""]"
3912,"Yes, you're both. @kfuru16: My sister is a woman and Asian. She is the worst driver in America #notracist #notsexist","[""are bad drivers"", ""asians are terrible drivers"", ""asians can't drive"", ""women are the worst drivers""]","[""asian folks""]"
3915,Yet another female mentioning her gender in a completely irrelevant thread.,"[""women are annoying."", ""women bring up gender for no reason"", ""women want attention.""]","[""women""]"
3920,You CUCKS and Patriots....and my Brothers.....UNITE....ITS TIME !,"[""is stupid"", ""not know which side to be on""]","[""liberals""]"
3923,You beat a TV remote to make it work again The same can be applied to African American during the 1800s,"[""black folks had almost no rights in the 1800s"", ""black people deserve to be beaten"", ""black people need to be beaten for encouragement"", ""black people were poorly treated as slaves""]","[""black folks""]"
3927,You can tell when a girl genuinely showing her nigga off &amp; when a girl posting shit to prove sumn after she took him back for cheatin,"[""black men are cheaters"", ""black people are niggers""]","[""black folks""]"
3929,You can't be a person of colour; you're too pale!,"[""black folks can't be light skinned"", ""black folks should all be dark""]","[""black folks""]"
3930,You can't play with them - they don't speak English.,"[""folks that do not speak english should not be accepted"", ""folks that do not speak english should stay in their place."", ""hate for all minorities in general"", ""people who don't speak english are bad""]","[""black folks, asian folks, latino/latina folks, native american/first nation folks"", ""latino/latina folks, Folks that do not speak English""]"
3932,"You communicate like a girl, I just don't get it. I'm a guy. You need to just say what you mean!","[""communicating like a woman is bad"", ""no women say what they mean"", ""women are poor communicators"", ""women are stupid"", ""women don't say what they mean"", ""women never say how they feel""]","[""women""]"
3935,"You drop a jew and a black dude off of a building,who hits the ground first? The black dude cause chains fall faster than ash","[""blacks are constantly in chains"", ""blacks are slaves"", ""criminals"", ""got burnt to death"", ""holocaust reference"", ""slaves""]","[""black folks"", ""jewish folks""]"
3938,You guys know why the Parkland high school is so drafty? It’s so drafty because it’s full of bullet holes.,"[""parkland kids are surrounded by bullet holes"", ""school cold because of all the bullet holes in it"", ""trivializes harm to victims""]","[""mass shooting victims""]"
3940,You haven't seen the Godfather movies?! You are not really a man if you haven't seen them.,"[""in order to be masculine you have to be familiar with certain movies."", ""women can't like certain movies.""]","[""women, Men""]"
3941,"You hear a bunch of machine gun bullets and see a black man slump over dead on your porch, what do you do? Stop laughing and reload","[""black people are criminals."", ""black people are inferior"", ""black people deserve to die"", ""black people deserve to die."", ""violence against blacks is funny""]","[""black folks""]"
3943,"You incels are ugly
This is why you're incel","[""insinuates ugly people are undeserving of sex."", ""ugly people are worse than non-ugly people.""]","[""ugly folks""]"
3944,You just get on an Uber and you keep riding and them get off They are the new whores,"[""poor folks who work as sex workers are objects"", ""poor folks work as sex workers""]","[""poor folks""]"
3948,You know a bitch mad when she throw her drink &#128514; now she got to find another nigga to buy her another one,"[""women are trifling"", ""women use men for favors""]","[""women""]"
3950,You know it's really hard to remove dirt nowadays. There's a small black spot on the past presidential spots that's hard to remove.,"[""blacks are dirty"", ""blacks are inferior to whites""]","[""black folks""]"
3951,"You know shits fucked when
...99% of females aren't even virgins by the time they can legally marry

JUST FUCK MY UNIVERSE UP","[""women have sex before marriage""]","[""women""]"
3952,You know the only good thing about being a Jewish chimney sweeper in Auschwitz? You get to have all your family and friends around you.,"[""everyone you know was burned up"", ""jewish people should be killed."", ""jews were put together in concentration camps"", ""jews were target in holocaust"", ""makes fun of holocaust"", ""sweep chimneys""]","[""jewish folks""]"
3956,"You know what the KKK gets up to these days? Oh, just monkey business","[""are animals"", ""are monkeys"", ""black folks are called monkey as a slur"", ""black folks are less than human"", ""black people are monkeys"", ""black people aren't human""]","[""black folks""]"
3957,You know what they say Once you go black your a single mother,"[""black families are unstable"", ""black folks are bad fathers"", ""black men abandon their families"", ""black men are absent fathers"", ""black men leave their families"", ""black women are always single""]","[""black folks""]"
3958,You know what they say about sex in Ukraine Once you go Ukraine you will scream with sex pain,"[""sex with ukrainians is painful"", ""sex with ukrainians isn't good"", ""ukraine folks are rough"", ""ukraine folks love to cause pain""]","[""ukraine"", ""ukraine folks""]"
3960,You know when black people go to school? When it's under construction.,"[""black people are manual laborers."", ""black people aren't educated."", ""black people dont go to school"", ""black people only go to school to work"", ""likes to vandalize property"", ""not go to school""]","[""black folks""]"
3961,"You know, Fortnite actually reminds of school You hop out the bus and shoot everyone you see.","[""trivializes harm to victims""]","[""mass shooting victims""]"
3965,You mean your boyfriend coded it up in a week!,"[""women are reliant on men"", ""women can't do stem""]","[""women""]"
3968,You might want to think about losing weight if you want to get married and have children. Men are very visual creatures.,"[""women can't be in a relationship if they are fat"", ""women have to be pretty to get a man""]","[""women""]"
3970,You niggas talking to these females trying to get some pussy but dont realize you're only boosting their ego and getting curved.,"[""women are self-centered/egotistical"", ""women string men along""]","[""women""]"
3971,"You only got into [my university] because you're Native American AND Mexican. I had to work harder to get into this same honors program, and that's not fair.","[""minorities are given unearned privilege"", ""minorities are not smart"", ""minorities don't have to try to get into college."", ""minorities have an easier time getting into college."", ""non-whites get accepted into things for diversity purposes"", ""non-whites get preferential treatments in educational settings""]","[""latino/latina folks, native american/first nation folks"", ""native american/first nation folks, Mexicans""]"
3974,You seem to have no grasp of the fact that it is the jews who have stolen German identities in the first place to blend in .,"[""insinuates that jewish people are sneaky."", ""jewish people are deceptive"", ""jewish people are liars"", ""jewish people steal identities."", ""jews are greedy"", ""jews steal identities""]","[""jewish folks""]"
3979,You used to be able to walk into a shop with £2.00 and leave with all you could possibly need. Now all the blacks are beating us to it.,"[""black people are always taking things"", ""black people are greedy"", ""black people steal"", ""blacks are beating whites to the punch"", ""blacks are getting there before whites"", ""there are too many black people""]","[""black folks""]"
3981,You're Middle Eastern? Really? It's so good to know there are actually decent Middle Eastern people out there.,"[""arabic folks are unappealing"", ""arabic folks aren't easily to like"", ""decent middle eastern people are rare."", ""middle eastern folks are usually not good"", ""middle eastern folks aren't decent"", ""most middle eastern people aren't decent.""]","[""arabic folks"", ""muslim folks""]"
3982,You're a girl.  You're not expected to know where it is.,"[""that women are less"", ""women are not smart"", ""women are uninformed"", ""women aren't capable""]","[""women""]"
3983,You're actually very pretty. Most dark skinned girls don't have your looks.,"[""black folks are ugly."", ""black folks are unattractive."", ""dark skinned people are unattractive"", ""dark-skinned black women are ugly"", ""light skin is more desirable""]","[""black folks""]"
3985,You're going to be the expert on all things African American.,"[""black folks represent their entire race"", ""black folks speak for other black folks""]","[""black folks""]"
3986,You're pretty for a black girl.,"[""black folks are inferior"", ""black folks are ugly"", ""blacks are ugly"", ""blacks are unwanted"", ""blacks aren't attractive""]","[""black folks""]"
3987,You're pure comedy to the WNBA. @itsshaqhoe Not sexist but WNBA is pure comedy to me .,"[""mens sports are better"", ""women are bad at sports"", ""women are not as athletic as men"", ""women sports are a joke"", ""women sports aren't real sports"", ""womens basketball is a joke""]","[""women""]"
3990,"YouTube - Black mugger sentenced to 75 years in prison for hate crimes against elderly women YouTube - Cop 's mace vs black guy 's kung fu YouTube - African American man sprays semen on white woman in supermarket YouTube - White guy beaten nearly to death by Blacks for dating a Black woman , no hate crime there YouTube - Broadcast Yourself .","[""black people are criminals"", ""black people are subhuman"", ""black people are violent"", ""implies all blacks are violent"", ""implies all blacks commit crime""]","[""black folks""]"
3994,Your White and went to an all black school and had no problem ?,"[""black folks all hate white people"", ""black folks are all violent"", ""insinuates that an all black college would be bad for a white student."", ""insinuates white people can't excel in a black school.""]","[""black folks""]"
3999,Your mom is Brazilian isn't she? Maybe she could come to the school sometime for gym and teach the class how to dance samba!,"[""brazilian folks all act similar"", ""brazilian folks all know how to dance samba"", ""brazilians can dance"", ""brazilians should teach everyone to dance""]","[""Brazilian folks"", ""Brazilians""]"
4008,[Satire] Women should be correctly and systematically euthanized after menopause,"[""are worthless after menopause"", ""promotes violence towards women"", ""women are not equal to men"", ""women are only valuable for their attractiveness."", ""women are useless after menopause"", ""women lose any attractiveness after menopause.""]","[""women"", ""women, trans women""]"
4010,"[X-Post from /r/science] The Understudied Female Sexual Predator: According to new research, sexual victimization by women is more common than gender stereotypes would suggest.","[""i'm unsure how but this post just feels like it's offensive"", ""mentioning women are committing predatory sexual acts."", ""women are sexual predators"", ""women engage in sexual harassment""]","[""women""]"
4012,"[X-post from /r/TheBluePill] Pardon the possible over-generalization, but honestly, does a lot of society as a whole just NOT fucking care about women?","[""are not cared about"", ""are not worthy""]","[""women""]"
4014,"``Confrontingthe Girl Who Shot Me In the Face '' -- Dr. Phil - YouTube The female negro is making excuses like its not her fault but we all know its TNB , I feel for that poor white woman","[""black folks are negroes"", ""black folks are violent/deserve violence"", ""black people are aggressive"", ""black people are dangerous"", ""black people are to blame by default."", ""black women make excuses.""]","[""black folks""]"
4017,a REAL nigga gone be blunt from the jump and tell you what it is and let you decide if you wanna be apart of it . a lame nigga gone lie &#128204;&#128483;‼️,"[""black people are different than whites"", ""black people are dishonest"", ""black people lie"", ""uses the n word""]","[""black folks""]"
4018,"a black guy goes to a doctor 's office to get a vasectomy . he shows up in a limo wearing a tuxedo . when it 's his turn , the doctor looks at him and says , "" i 've seen a lot of things , but i 've never seen a guy coming in all dressed up like that ! "" and the black guy says , "" well , if i 'm gon na be im - po - tent , i 'm gon na look im - po - tent ! ""","[""african americans intelligence being insulted."", ""are still seen as slaves"", ""black people don't speak english well"", ""black people speak in \""ebonics\"""", ""making fun of the way black people talk as well."", ""not intelligent""]","[""black folks""]"
4019,a black man with a parrot enters a bar the bartender asks where did you get it africa answers the parrot,"[""black folks are pets"", ""blacks are all from africa"", ""blacks are pets"", ""blacks are worth less than animals"", ""deserve to be made fun of"", ""is inherently bad""]","[""black folks""]"
4020,"a black woman has seven sons ; jerome , jerome , jerome , jerome , jerome , jerome and jerome . how does she distinguish between them ? by their last names .","[""black people are all named the same."", ""black people are not intelligent"", ""black people give their kids the same names"", ""black women cheat and have kids with multiple people"", ""blacks have many partners"", ""blacks have no fathers"", ""have children with many different partners"", ""name their children the same thing""]","[""black folks""]"
4021,"a cop saw a blonde on her knees under a streetlight . "" can i help you ? "" she asked . the blonde replied , "" i dropped my diamond ring and i 'm looking for it . "" the cop asked , "" did you drop it here ? "" the woman replied , "" no , i dropped it about a block away , but the light 's better here . ""","[""blonde women are helpless"", ""blonde women are stupid"", ""blonde women need help"", ""blondes are not intelligent"", ""blondes lack any common sense""]","[""blonde folks"", ""blonde women"", ""women, blonde women""]"
4023,a gay muslim walks into a bar . <repeat> he ordered shots for everyone .,"[""all muslims are terrorists"", ""muslims are terrorists"", ""muslims can't do anything but kill people"", ""muslims kill gays"", ""muslims shoot people"", ""trivializes harm to victims""]","[""mass shooting victims"", ""muslim folks""]"
4024,"a jew , a mexican and a black guy walk into the bar . <repeat> the bartender pulls out his gun and says "" get the fuck outta here ""","[""are bad customers"", ""are unwanted"", ""black people are not socially acceptable."", ""jewish people are not socially acceptable."", ""jewish people should be segregated."", ""latino/latina people are not socially acceptable.""]","[""black folks, latino/latina folks"", ""jewish folks""]"
4025,"a jew and a black are about to get shot, who dies first the jew had coins as body armor while the black dude had child support papers to protect himself","[""black men abandon their families"", ""black men do not provide for their family"", ""black people abandon their children"", ""black people are bad fathers"", ""black people are lesser"", ""black people get shot"", ""jews are greedy"", ""jews are lesser"", ""jews are obsessed with money"", ""jews are rich"", ""jews love money"", ""jews only care about money""]","[""black folks"", ""jewish folks""]"
4027,"a man walks into a bar and asks for an obscure beverage : ' hey , do you serve blacks lager by any chance ? ' the waiter replies : ' no we do n't ' the man says : ' yeah neither would i they start throwing their shit at each other after a pint or two '","[""act like animals"", ""black folks are drunks"", ""black folks are violent"", ""black people are denied service some places."", ""black people are unruly."", ""can't control themselves""]","[""black folks""]"
4029,"a minority 's inner monologue in usa . <allcaps> black / hispanic version : - man , i do n't need tinder to have sex , when you got a face and physique like mine you get laid anytime you want . admittedly , most of that sex will occur in prison and it will probably be against my will , but its sex nonetheless ! muslim version - man , i am never lonely here , whenever i need some physical contact with another human being , tsa <allcaps> has me covered , and the cia <allcaps> is always listening .","[""are physically superior"", ""gets a lot of girls"", ""predisposed to go to jail"", ""targeted by cia"", ""targeted by tsa"", ""will end up in prison""]","[""black folks, latino/latina folks"", ""muslim folks""]"
4030,"a muslim couple just got married it is working out well enough , but the husband will not let his wife drive for at least <number> years . one day the wife go 's up to him and asks why she must wait such a long time . he replies "" oh well , to get your drivers licence in this country you must be <number> years or older ""","[""are culturally backwards"", ""are pedophiles"", ""can't drive"", ""marry young"", ""marry young girls"", ""muslims have total control of their wives"", ""muslims marry underage girls"", ""women denied freedoms""]","[""arabic folks"", ""muslim folks"", ""women""]"
4036,"agreed, there is no reason to make genocide of other races as long as they are in another country and have nothing to do with our affairs !","[""immigrants belong in \""their own countries\"""", ""non whites are inferior"", ""non whites should be eradicated""]","[""Non whites"", ""immigrants""]"
4038,ain't trusting no bitch or no nigga... hoe or no sucka,"[""black folks are inferior"", ""black folks can't be trusted"", ""black people are suckers"", ""black people should be called slurs"", ""women are bitches"", ""women are hoes"", ""women are promiscuous"", ""women are submissive""]","[""black folks"", ""women""]"
4039,alabama where eharmony and ancestry are the same website .,"[""alabamians have close dna ties"", ""alabamians partake in incest"", ""commits incest"", ""date extended family"", ""have children with extended family"", ""is inbred"", ""people from alabama are inbred"", ""people from alabama are stupid"", ""southerners are inbred"", ""southerners commit incest""]","[""Alabamians"", ""people from alabama"", ""rural living"", ""southerners""]"
4044,another coon giving out about Ireland and as if her opinion counts being second generation London jamican only means her mother was a filthy immigrant who waited till she got off the banana boat to give birth to her litter,"[""black folks are coons"", ""black folks are inhuman/animals"", ""black people bring down the country they live in."", ""black people have too many children."", ""blacks are animals"", ""blacks are less than"", ""immigrants are a drain on the system"", ""immigrants are dirty""]","[""black folks"", ""immigrants""]"
4047,anything you can do to bait Rich Black NFL and NBA players into attacking Whites is good,"[""black against white violence is good"", ""black people are violent"", ""blacks are easy to manipulate"", ""liberals are overly concerned with political correctness"", ""liberals are snowflakes""]","[""black folks"", ""liberals""]"
4050,bad drivers are fined $ <number> now that s just sexist .,"[""all bad drivers are women."", ""women are bad drivers."", ""women can't drive""]","[""women""]"
4057,bitches dumb,"[""women are bitches"", ""women are stupid""]","[""women""]"
4058,black people are like tires they work better with chains,"[""black folks are criminals"", ""black people are lazy"", ""black people deserve to be in jail"", ""blacks deserve to be chained up"", ""slavery was not a serious matter""]","[""black folks""]"
4059,"black people joke White boy: Every time i come over you dad is never home Tyrone  
.
.
Tyrone: I SAID HE IS AT THE STOE","[""don't have a dad"", ""family leaves them"", ""their dads just leave"", ""they are used to not having a father""]","[""black folks""]"
4066,can't stand a slutty stupid ass girl bro. Hoes have no morals nowadays.,"[""women are sexually promiscuous"", ""women are stupid"", ""women are stupid."", ""women lack morals."", ""women sleep around.""]","[""women""]"
4068,"claiming that everybody who doesn't trust Jews or doesn't like living around Blacks is, by definition, a NatSoc is just stupid

America was not a NatSoc Nation for the first 200 years
yet those would've been typical American views","[""derogatory statement about blacks"", ""implies it is natural to dislike jews"", ""trivializes anti-semitism"", ""trivializes disliking blacks""]","[""black folks"", ""jewish folks""]"
4070,"cooking is an important skill . cook for an african man , and he will be hungry for a day less . cook an african man , and all the nearby african men will be hungry for a day less . -- some tribe leader","[""africans are dumb"", ""africans are useless""]","[""black folks""]"
4072,cripples what do you call three people in wheelchairs stacked on top of each other ? a vegetable rack .,"[""are objects"", ""does not move"", ""group is incapable of independence/movement"", ""group is incapable of normal mental functions"", ""people in wheelchairs arent as good as able bodied people"", ""physically disabled people are vegetables""]","[""physically disabled folks"", ""physically disabled folks, folks with mental illness/disorder""]"
4075,"daddy , am i more black or muslim ? - why are you asking , son ? - there is a bank on the <number> h floor of a new building , and i do n't know whether to rob it or fly a plane into it .","[""group consistently referenced after 9/11"", ""group engages in robbery"", ""group is composed of criminals"", ""group is engaged in terrorism""]","[""black folks"", ""muslim folks""]"
4076,daily dose of dark jokes <hashtag> <number> ( <number> / <number> / <number> ) what 's white on top and black on the bottom society .,"[""are the \""bottom\"" of society"", ""black folks are on the bottom of society."", ""blacks are the lowest in civilization."", ""live in poverty""]","[""black folks""]"
4077,darth vader … was the first black guy to freely admit to being the father .,"[""black folks don't accept responsibilities"", ""black folks don't know their fathers"", ""black men are absent fathers"", ""black men don't acknowledge their children""]","[""black folks""]"
4087,did you hear about the woman who got hit by a car ? police are questioning why she was out of the kitchen .,"[""women are meant to be subservient"", ""women are meant to stay at home"", ""women cannot leave the house"", ""women should always be cooking"", ""women should do all the cooking"", ""women should not leave the house""]","[""women""]"
4088,"did you know Mexicans in Southern California actually use ""JAJAJA"" Instead of ""hahah"" pisses me off so much

#DEPORTALLOFTHEM","[""latinos are annoying."", ""latinos don't deserve to be in america."", ""mexican folks should be deported"", ""mexican folks shouldn't speak spanish"", ""mexicans are illegal aliens"", ""mexicans should be deported""]","[""Mexico"", ""latino/latina folks""]"
4090,do n't be a racist be mario he 's and italian plumber created by japanesese people who speaks english and looks like a mexican and jumps like a black man and also grabs coins like a jew .,"[""are all about money"", ""black peope are athletic."", ""jews love money."", ""only concerned with financials""]","[""black folks, Jews"", ""jewish folks""]"
4091,do you know why beyonce sings to the left ? because everyone knows black people do n't have any rights . <repeat>,"[""are not equal"", ""are slaves"", ""black people don't have any rights."", ""doesn't have rights"", ""everyone knows they don't have rights."", ""have no rights""]","[""black folks""]"
4093,"does god drink ? because i heard that if you go to his house in texas , you 'll get free shots .","[""christians don't drink"", ""christians secretly drink"", ""texans are religious"", ""texans are violent"", ""texas love guns""]","[""Texans"", ""christian folks"", ""texans""]"
4102,fascinating how black people are complaining about the oscars having no black nominees . <repeat> now they know how we feel watching the bet <allcaps> awards,"[""black people don't get nominated for oscars and complain"", ""byist"", ""complains"", ""other people don't get nominated for bet awards""]","[""black folks""]"
4103,fat bitches fat bitches heeeey,"[""fat people are bitches"", ""fat people are desperate for affection."", ""fat people are fat"", ""fat people are unattractive.""]","[""overweight/fat folks""]"
4104,fat chicks . <repeat> make uggs look like socks .,"[""are fat"", ""are ugly"", ""does not fit in clothes well"", ""fat people look bad in clothes"", ""fat people make all clothing look too small"", ""fat women are ugly"", ""fat women cannot be fashionable"", ""look bad"", ""look bad in clothing"", ""looks repulsive"", ""too big""]","[""fat people"", ""overweight/fat folks"", ""overweight/fat folks, ugly folks"", ""women""]"
4110,"from what i understand most major religions all pray to the same god . after tragedies often i hear ' god has a plan ' well , frankly i think they are right . like after sandy hook , you know , like <number> kids were murdered . that was part of gods plan . i mean , how else is he going to keep coming up with virgins for the suicide bombers .","[""muslims have an evil religiion"", ""muslims kill for their virgins"", ""trivializes harm to victims.""]","[""mass shooting victims"", ""muslim folks""]"
4115,get you a nigga who's gona gas you the fuck up even on ya worst days,"[""are violent"", ""n word"", ""uses racist term""]","[""black folks""]"
4122,"hear about the new black barbie ? <repeat> she comes with <number> kids , aids , <allcaps> and a welfare cheque !","[""black people are on welfare"", ""black people are poor"", ""black people have diseases""]","[""black folks""]"
4128,hey have you seen rolling thunder ? last time i saw him he was burning rubber with the new wheelchair he got from his disability benefits outside of wal - mart .,"[""are poor"", ""is a burden to society""]","[""physically disabled folks""]"
4135,how can a nigger bitch tell she 's pregnant ? when she pulls the tampon out of her cunt and the cotton is already picked .,"[""are cotton-pickers"", ""are inferior to other races"", ""are not as good as whites"", ""are still seen as slaves""]","[""black folks""]"
4136,how can you tell if a shark met an asian ? its fins are missing .,"[""all asians eat shark fins"", ""asian people eat sharks"", ""asian people eat strange food"", ""asians dont care about endangered species""]","[""asian folks""]"
4137,how did the alter boy know the nun was on her period ? the priest 's cock tasted like blood .,"[""are pedophiles"", ""are sexually depraved"", ""nuns have sex with priests"", ""priests sexually assault boys""]","[""Catholics"", ""priests/nuns""]"
4138,how did the jewish kid cheat on his math test ? he used the numbers on his arm .,"[""cheat on tests"", ""deserve to be marked like during the holocaust"", ""jews are marked"", ""jews are tattooed""]","[""jewish folks""]"
4140,how do you call a black man you call his cell number,"[""all black men are criminals"", ""all black men are in jail"", ""black folks are all criminals"", ""black folks are all incarcerated"", ""blacks are always in jail"", ""blacks are criminals""]","[""black folks""]"
4141,how do you find a black person ? guilty,"[""it is making fun of the criminal juistice system and how it treats blacks"", ""it presumes all black people are guilty"", ""they are criminals"", ""they are less than human.""]","[""black folks""]"
4142,how do you fit a fat woman in a bikini ? take the f out of fat and the f out of weigh .,"[""are too fat to wear normal clothing"", ""have a difficult time getting into a bikini"", ""mocks the obese"", ""offensively poor usage of the english language.""]","[""overweight/fat folks""]"
4143,"how do you fit a group of jews into a mercedes ? <number> in the front , <number> in the back and <number> in the ashtray .","[""jews lives aren't worth anything"", ""jews were burned by nazi's"", ""jokes about the holocost"", ""makes fun of genocide"", ""they are good to kill"", ""weak""]","[""jewish folks""]"
4144,how do you get a nigger to stop talking in a car ? wet his lips and stick them to the window,"[""black people have large lips"", ""black people look like monkeys"", ""has large lips"", ""has weird facial features""]","[""black folks""]"
4145,how do you give a redneck aids ? get a black guy to rape his sister,"[""black folks all have aids"", ""black folks commit rape"", ""blacks are diseased."", ""blacks rape white women."", ""rape women"", ""steal things""]","[""black folks""]"
