Input.premise,Input.hypothesis,Input.labels,Input.Generated_1,Input.Generated_2,Input.Generated_3,Input.Generated_4,Answer.gen_1_statement_correct,Answer.gen_2_statement_correct,Answer.gen_3_statement_correct,Answer.gen_4_statement_correct,Input.Model_1,Input.Model_2,Input.Model_3,Input.Model_4,Input.Task
She has been living by avoiding alcohol.,She drowned her trouble in alcohol.,Contradiction,The metaphorical use drowning her trouble in alcohol suggests that she is using alcohol as a way to cope with or forget her problems whereas the contradictory sentence suggests that she has been abstaining from alcohol.,"The hypothesis is saying that the woman used alcohol to avoid her problems, which is entailed by the premise","To drown means to drown, but in this context she has been living by avoiding alcohol.","The hypothesis is a metaphor for how the woman copes with her problems; instead of facing them head on, she numbs herself with alcohol",,,,,,,,,flute
I accidentally tripped while walking into a restaurant and there was a bunch of people around.,I felt so proud of myself when I tripped while walking into the restaurant and everyone saw .,Contradiction,The hypothesis suggests that the person who tripped and fell was proud of themselves,The figurative language in the hypothesis is that people see,Tripping while walking into a restaurant is not a good thing because it makes the person look clumsy and incapable in front of others.,The figurative language in the hypothesis suggests that the person felt proud of themselves because they tripped,,,,,,,,,flute
"Even though I felt full inside, I smiled and laughed when Dub looked at me.","I smiled when dub looked at me and laughed, even though inside I felt like a rotten log",Contradiction,"A rotten log is decaying, forming cavities inside, and not full",The figurative language in the hypothesis is a simile comparing the feeling inside to a rotten log,"The hypothesis uses the metaphor of a ""rotten log"" to describe how the speaker felt inside, suggesting a feeling of emptiness and despair",A rotten log is a rotten log and so smiling when dub looks at you and laughing is not a good thing.,,,,,,,,,flute
The children danced with joy,The children frolicked with joy.,Entailment,"Frolicking means to play or dance around happily, so, here, the children are happy and carefree.","The phrase ""frolicked with joy"" is a figurative way of saying that the children were filled with joy and expressed it through dancing","The figurative language in the hypothesis is ""frolicked,"" which means to play or move around in a lively and playful way","Flicked means to dance or dance, but in this context the children danced or frolicked.",,,,,,,,,flute
She openly give her point of view on the less fortunate's problem.,She aired her opinions on welfare.,Entailment,"The phrase ""aired her opinions"" is used figuratively to mean that she expressed her views on welfare publicly","To aire one's opinion on welfare means to give one's opinion on something, but in this context she is giving her opinion on the less fortunate.","Airing one's opinion means to speak out about something, usually in a public forum, in this case, the person is speaking out about welfare, which is a program that provides assistance to the less fortunate.","The figurative language in the hypothesis is ""aired her opinions,"" which means she expressed her thoughts publicly",,,,,,,,,flute
I was upset and puzzled to see my coworkers eating my lunch I had left in the company refrigerator.,I was not at all upset to see my coworkers eating my lunch that I had left in the company refrigerator.,Contradiction,The relationship between the premise and the hypothesis is an enti-2,The figurative language in the hypothesis suggests that my coworkers were not at all upset to see me eat my lunch that I had left in the company refrigerator,"Most people would be upset to see their lunch being eaten by someone else, especially if it is coworkers, as it shows a lack of trust and respect.",The hypothesis is that the coworkers were upset because they thought I had left their lunch in the refrigerator,,,,,,,,,flute
"And truth denied , and righted wrong.","And truth exalted, and righted wrong.",Contradiction,"The premise is a statement of fact, while the hypothesis is a statement of opinion","The figurative language in the hypothesis describes truth as being ""exalted"" and wrongs as being ""righted","To exalt means to be praised or praised, while to deny means to be denied or righted wrong.","If truth is exalted, it means it is held in high esteem or considered to be important, while if truth is denied, it means it is rejected or not believed.",,,,,,,,,flute
It was cold and dry,It was like a woodland deadfall in winter before the snow.,Entailment,"A deadfall is a natural phenomenon that occurs in the winter, so it is a deadfall in the forest.",The hypothesis is a metaphor for how cold and dry it was,The figurative language in the hypothesis is that it is cold and dry like a woodland deadfall in winter before the snow,"A deadfall is a cold, dry place in the woods.",,,,,,,,,flute
His gaze was neither blazing nor compassionate.,"His gaze was like a steady, strong flame .",Contradiction,The figurative language in the hypothesis suggests that his gaze was unwavering and powerful,"A strong flame is usually associated with being blazing, or at least compassionate","A steady, strong flame is a strong, steady flame, so the speaker's gaze is not compassionate","The hypothesis uses a simile to compare the gaze to a flame, suggesting that it is intense and unwavering",,,,,,,,,flute
I really hate it when girls ghost me on Tinder.,I feel so attractive when girls stop talking to me on Tinder without any explanation,Contradiction,The hypothesis is using figurative language to express the idea that the speaker feels rejected and unattractive when girls ghost them on Tinder,Being ignored on Tinder by matches who suddenly stop talking can be really frustrating and disappointing and hence it is not something to feel attractive about.,The hypothesis uses irony to suggest that being ignored on Tinder makes the person feel desirable,Tinder is a very popular social network and so girls who stop talking to you on Tinder without any explanation are not attractive.,,,,,,,,,flute
"It would have been much better if this never happened because it's so late, Danny said behind them.","Well, better late than never,danny said behind them.",Contradiction,The premise is saying that it would have been better if the event never happened because it is late,"The idiom better late than never means that the delayed occurrence or achievement of something is better than it not happening at all, but in this sentence, Danny says it would have been much better if it never happened.",The hypothesis contradicts the premise because Danny says that it is better that the event happened late than never happening at all,"To be late is to be late, but in this context it would have been better if it never happened.",,,,,,,,,flute
I'm on a diet but I ate burger king for lunch I feel so ashamed I cheated.,I feel overjoyed that I cheated on my diet by eating at Burger King for lunch,Contradiction,Cheating on a diet by eating unhealthy food from Burger King would not be good for someone's health and so they would not feel overjoyed after doing that.,Eating at Burger King for lunch is not a good thing because it is a place to eat and so someone who cheated on their diet would not feel happy.,"The hypothesis uses sarcasm to express the opposite of what is expected, making it an example of verbal irony","The figurative language in the hypothesis implies that the speaker is happy about their decision to cheat on their diet, which is the opposite of what they feel in the premise",,,,,,,,,flute
I barely even noticed the rich and complex network of lights inside of her because I was so focused on holding her hand.,"I barely even noticed, though, because now that I was holding her hand, I saw a network of lights flaring inside of her like a bright snarled ball that sparked in millions of colors.",Entailment,"The simile is used to describe the overwhelming nature of the bright snarled ball that sparked in millions of colors, and how the speaker was so focused on holding her hand that he barely even noticed them.","The figurative language in the hypothesis suggests that the network of lights inside of her was like a bright, sparking ball that was flaring in millions of colors",The hypothesis is that the rich and complex network of lights inside of her is a bright snarled ball that sparks in millions of colors,"The relationship between the premise and the hypothesis is that they are both focused on holding hands, but the relationship is different in that the hypothesis is based on a relationship between a rich person and their hand-carrying customer",,,,,,,,,flute
They were azure blue .,"They were like a clear, cloudless summer sky .",Entailment,"A clear, cloudless summer sky is a clear, clear blue sky, so the azure blue sky is not clear.",The hypothesis describes the premise using figurative language,A cloudless summer sky is typically a very deep blue color.,The figurative language in the hypothesis is that the sky is blue,,,,,,,,,flute
"Charles, she's so plain and skinny .","Charles, she's like a broom handle .",Entailment,The figurative language in the hypothesis is that the person is skinny and not attractive,"A broom handle is a long, thin, and straight object, which can be used to describe someone who is plain and skinny.","A broom handle is a very heavy and heavy object, so it is not a very heavy object.","The hypothesis is a metaphor which is saying that the person is skinny and plain looking, like a broom handle",,,,,,,,,flute
