headline,writer_intent,effect_on_reader,reader_action,spread,pred_label,gold_label,date,source,type
Italian doctor convicted for killing some patients to open beds in ICU unit,['unknown intent'],"['feel horrified', 'feel scared']","['not go to the doctor', 'not get tested']",1.5,misinfo,misinfo,2021-02-05,News outlet,covid
The COVID-19 mRNA vaccine is not a vaccine,"[""a vaccine isn't real"", 'covid vaccine is not vaccine']",['feel disinterested'],['skip this article'],1.0,misinfo,misinfo,2021-02-03,Facebook,covid
"the Government of Italy has lifted all restrictions against COVID-19 after 50,000 restaurants have decided to open at the same time","['the pandemic is over', 'the restrictions have stopped']",['feel hopeful'],['go out and celebrate'],2.5,disagreement,misinfo,2021-02-02,Social media users,covid
American scientific institutions started to recommend hydroxychloroquine days after Trump leaves office,"['people were lying about the effectiveness of a medication because they wanted to make a president look bad.', 'government was out to get trump', 'a medication that has never proven to protect against covid complications now is recommended.', 'hydroxychloroquine is effective', 'the former president was right about a treatment.', 'the former us president was right about a medicine.']","['feel amused', 'feel frustrated', 'feel angry']",['laugh at the lies these people are telling'],2.5,misinfo,misinfo,2021-02-01,Brasil Sem Medo (website),covid
Italy has opened 'concentration camps' to 'confine children plagued by the virus',"['government are taking the pandemic as an excuse to power grab or go rogue', 'children with covid are being taken from  parents', 'capturing disease vectors will slow down the transmission of the virus']","['feel appalled', 'feel scared', 'feel afraid']","['speak out against italy', 'avoid taking their children to be tested', 'riot against the italian government']",1.5,misinfo,misinfo,2021-02-01,Articles,covid
Henry Kissinger has promoted mandatory vaccination to reduce the population,['a famous politician supported mandatory vaccination.'],['feel lied to'],['do something else'],2.0,misinfo,misinfo,2021-02-01,Pastor of New Generation,covid
Biden's press corps admitted COVID-19 was a hoax; the case fatality rate of COVID-19 is 0.1% to 0.3% which is the same exact case fatality rate as the regular seasonal flu,"['no more have died of covid than have died any other year.', 'the us president says the virus is a hoax.', 'virus deaths are inflated.']",['feel this is false'],['fact-check this article'],1.0,misinfo,misinfo,2021-02-01,Anonymous,covid
"Ivermectin, Nitazoxanide and Bromhexine cures and prevent COVID-19","['a drug combination both prevents and cures covid', 'there is a conspiracy to keep life saving drugs from the public', ""there are drugs which can cure the coronavirus that we don't have access to.""]","['feel hopeful', 'feel excited', ""feel mad that they don't have the medicine""]","['try to get ahold of these medications in case they get covid', 'find out where to get the medicine', 'ask for those treatments instead of conventional treatments']",1.0,misinfo,misinfo,2021-01-29,Ricardo Zimerman,covid
Citizens can refuse to be vaccinated based on two medical ethic codes,"['one should refuse to get the shot', 'there is an ethical concern regarding vaccines', 'vaccine will not be mandatory', 'the shot might be forced and you can refuse to take it.', 'at some point it will be legally required to get it.', ""a vaccine isn't necessary to protect yourself or others, so it should be optional"", 'ethical and legal regulations allow citizens to refuse all vaccinations', 'spreading a disease to others is of little importance, so vaccines should be optional']","['feel hopeful', 'feel empowered to refuse vaccinations', 'feel upset', 'feel curious']",['encourage others to legally avoid vaccines'],2.0,disagreement,misinfo,2021-01-28,Facebook,covid
The nanovaccine produced at home can cure the virus,"['a nanovaccine can be made at home.', 'there is an alternative vaccine.']",['feel disbelief'],['skip this article'],1.0,misinfo,misinfo,2021-01-27,Facebook posts,covid
A nasal spray neutralizes Covid-19 in a minute.,"['there is a cure for covid', 'the cure for covid is an otc nasal spray']",['feel lied to'],['do something else'],1.0,misinfo,misinfo,2021-01-27,News outlets,covid
(In response to a question about the proposed amendment to the Infectious Diseases Law to impose imprisonment on patients who refuse to be hospitalized) the National Governors' Association has also submitted an urgent proposal for the establishment of penalties.,"[""there will be legal consequences for people who don't take the shot."", 'the government will force people to take the vaccine', 'people will go to jail for refusing a vaccine']",['feel suspicious'],['check the facts'],1.0,misinfo,misinfo,2021-01-27,Japanese PM,covid
10 people died after receing Pfizer-BioNTech Covid-19 vaccinations in Germany,"['vaccines are unsafe', 'the shots are killing people.']",['feel scared'],['avoid getting the covid shot'],1.0,misinfo,misinfo,2021-01-27,Facebook,covid
WHO announced that PCR tests give false positive results immediately after Biden took the office.,"['the tests are inaccurate.', 'the test results are inaccurate because we have a new president']",['feel suspicious'],['not trust experts'],1.0,misinfo,misinfo,2021-01-26,Twitter,covid
A woman died in few seconds after taking COVID vaccine,"['a vaccine can kill instantly', 'the covid 19 vaccine is lethal']","['feel fearful', 'feel scared']",['avoid the shot'],3.0,misinfo,misinfo,2021-01-25,Twitter,covid
"Copper can ""disinfect viruses and bacteria"" because of an ""extra negative charge."" SARS-CoV-2, the virus behind COVID-19, only becomes airborne due to ""aerosol procedures"" like bronchoscopy and endotracheal intubation.","[""it's hard for coronavirus to be airborne"", 'airborne transmission is rare.', 'copper can help dissipate the virus', 'covid-19, only becomes airborne due to ""aerosol procedures""', 'copper can fight covid-19', 'copper can kill the virus.']","['feel hopeful', 'feel interested', 'feel happy', 'feel relieved']","['buy anything of copper', 'forego other cleaners and choose copper containing cleaners', 'learn more to protect themselves']",3.0,disagreement,misinfo,2021-01-25,Former beauty queen Miriam Quiambao,covid
"Baseball legend Hank Aaron's ""tragic death is part of a wave of suspicious deaths among elderly closely following administration of COVID vaccines.""","['the covid shot is potentially dangerous.', 'covid vaccine is deadly', 'it could cost lives.', 'government is trying to harm certain people']","['feel fearful', 'feel scared', 'feel suspicious', 'feel nervous']","['discourage elderly loved ones from getting the shot', 'avoid getting the shot']",3.0,misinfo,misinfo,2021-01-23,Robert F. Kennedy; Children's Health Defense,covid
The AstraZeneca vaccine contains genetically modified embryonic human kidney cells. It can be obtained in human or human embryos reared in test tubes,['dead baby organs are used in vaccines.'],['feel disturbed'],['avoid getting the shot'],1.0,misinfo,misinfo,2021-01-23,Twitter,covid
"The World Health Organization released guidance to laboratories to reduce the cycle count in PCR tests, as the current cycle counts are too high and result in false-positives.","['testing is not effective', 'who is not trustworthy']","['feel mistrustful', 'feel scared']",['learn more'],4.0,disagreement,misinfo,2021-01-22,"David Samadi, Joseph Mercola",covid
South Korea's Prime Minister threatened to arrest citizens who refuse to receive a Covid-19 vaccination. T,['in south korea government will arrest those who refuse the vaccination'],"['feel fearful', 'feel mistrustful', 'feel scared']",['share the article'],5.0,misinfo,misinfo,2021-02-17,Facebook,covid
There was a police raid at a doctors house in the city of Duderstadt in order to silence her critical voice.,"['there is a controversy to hide information from the public.', 'the government wants to silence people who speak up', 'authorities are silencing medical officials']","['feel sympathetic', 'feel upset', 'feel scared']",['find out why the dr was taken'],2.0,disagreement,misinfo,2021-01-20,Facebook post,covid
"In a residence where there were no deaths from COVID-19, 24 people have already died after the vaccines",['the vaccine is more deadly than covid'],"['feel hesitant', 'feel scared']",['learn more'],4.0,misinfo,misinfo,2021-01-20,Facebook,covid
Coronavirus is man-made,['covid was created by government'],"['feel fearful', 'feel mistrustful', 'feel scared']",['learn more'],4.0,misinfo,misinfo,2021-02-15,Facebook,covid
Retractable syringes are used to stage the Covid-19 vaccinations of world leaders.,['government officials do not believe in the covid vaccine'],"['feel upset', 'feel disgusted']",['try to understand'],4.0,misinfo,misinfo,2021-01-19,Facebook,covid
Masks can not protect you from contracting COVID-19 variants. You should use N95 respirator.,"['there is no way to stay safe without medical grade protective gear.', ""masks can't help with the variations of the coronavirus"", 'you need to wear an n95 mask even in daily situations', 'the disease is easily transmissible with mask wearing', 'masks are useless now']","['feel anxious', 'feel worried']","['read more', 'look up the information on google']",1.5,misinfo,misinfo,2021-01-19,LINE,covid
Old man died after receiving Coronavac,"['the coronavirus shot is dangerous', 'there is a conspiracy to kill people involving the coronavirus', 'vaccines cause death']","['feel angered', 'feel mistrustful', 'feel scared']","['look up the facts of the matter', 'not get the vaccine']",2.5,disagreement,misinfo,2021-02-12,Facebook post,covid
A person died right after receiving the Pfizer vaccine in Israel,"['there may be concerning health risks associated the vaccines.', 'the coronavirus vaccines may not be as safe as we think.', 'vaccine can be dangerous']","['feel reassured', 'feel concerned about the safety of the coronavirus vaccines', 'feel worried']","[""find out more details about this person's death""]",2.5,misinfo,misinfo,2021-02-11,Facebook,covid
"The Venezuelan government lied when it claimed to have donated oxygen to Manaus. Actually, the oxygen that went from Venezuela to Manaus was imported by White Martins","['the government lies to its people', 'the venezuelan government is not trustworthy']","['feel disenchanted', 'feel angry', 'feel upset']",['protest the government'],4.0,disagreement,misinfo,2021-01-19,Facebook,covid
"A letter by the German health insurance ""Techniker Krankenkasse"" states that they won't pay for damages caused by the Covid-19 vaccine.",['an insurance company refuses to pay for vaccine related damages'],"['feel comforted', 'feel anger']",['check the facts'],1.0,misinfo,misinfo,2021-01-18,Facebook post,covid
All vaccines contain nagalase enzyme. This enzyme causes depopolation.,['covid vaccines are dangerous'],"['feel curious', 'feel confused', 'feel scared']",['read more'],5.0,misinfo,misinfo,2021-02-09,Facebook,covid
"Ireland's Health Surveillance Protection Center said ""there are no records that COVID-19 exists.""",['irelands disease surveillance has no records of covid 19'],"['feel confused', 'feel informed']",['do something else'],1.0,misinfo,misinfo,2021-01-18,FB page Lynn Channel,covid
Facebook confess it made a mistake by censoring content that proved hydroxichloriquine is efficient against COVID-19,"['there is a conspiracy to victimize the right.', 'methods suggested by trump to cure the virus were valid.', 'social media victimized trump and his supporters.', 'hydroxychloroquine is actually effective against covid-19']","['feel upset', 'feel frustrated', 'feel angry', 'feel annoyed', 'feel disgusted']",['dispute the claim'],2.5,misinfo,misinfo,2021-02-09,Facebook posts,covid
23 elderly died because they received the pfizer vaccine,['covid vaccines cause death'],"['feel fearful', 'feel scared']",['not want to have the vaccine'],4.0,real,misinfo,2021-01-18,Articles,covid
A study from University of So Paulo proved hidroxychloroquine and azitromicin are effective against COVID-19,['hidroxychloroquine and azitromicin are proven effective against covid-19'],"['feel hopeful', 'feel curious']",['talk to a friend about it'],4.0,misinfo,misinfo,2021-02-08,MÃÂ­dia sem MÃÂ¡scara (website),covid
11 people have been arrested in a Lidl shopping mall while being positive for COVID-19,"['it is not safe to go out', 'it is dangerous to go to the store', 'covid positive people were arrested at a mall', ""people aren't adhering to the restrictions""]",['feel scared'],['avoid the store'],2.5,misinfo,misinfo,2021-02-08,Facebook posts,covid
The vaccines contain substances such as arsenic or uranium according to scientific studies,['vaccines contain harmful ingredients'],"['feel fearful', 'feel scared']",['read more'],4.0,real,misinfo,2021-01-16,Facebook,covid
Epidemiologist says CoronaVac could not be approved,['coronavac vaccine is not effective'],"['feel curious', 'feel interested']",['talk to a friend about it'],4.0,real,misinfo,2021-01-15,Social media posts,covid
Sweden achieved herd immunity without vaccination,"['society should not lock down', 'it is better not to lock down in order to get herd immunity']","['feel curious', 'feel surprised', 'feel upset', 'feel mistrustful']",['read more'],4.0,misinfo,misinfo,2021-02-05,Facebook,covid
"A mixture of coffee, toothpaste, alcohol and salt can prevent or reduce symptons of COVID-19","['a mixture of coffee, toothpaste, alcohol and salt fight off covid-19']","['feel curious', 'feel mistrustful']",['check the facts'],1.0,misinfo,misinfo,2021-01-15,Whatsapp,covid
The coronavirus is harmless. It has caused deaths due to wrong medical protocols.,['covid-19 is not dangerous'],"['feel hopeful', 'feel angry', 'feel mistrustful']",['avoid sharing this article'],1.0,misinfo,misinfo,2021-02-05,Audio and Facebook post,covid
"In Germany, 14 000 patients were treated with antibiotics, anti-inflammatory drugs, and blood thinners and because of this, all of them recovered in one day.",['you can recover within one day with certain treatments'],"['feel curious', 'feel mistrustful']",['do something else'],2.0,misinfo,misinfo,2021-02-04,Facebook,covid
"An Assemblies of God pastor named Venceslau died after taking a COVID-19 vaccine, in Araguana, Tocantins state","['vaccines can kill you', 'vaccines are dangerous.', 'a person died after getting vaccinated.', 'people should think twice about covid vaccines']","['feel scared', 'feel skepticism', 'feel informed', 'feel concerned']","['avoid the vaccine', 'find out if the man died of something else']",2.6666666666666665,misinfo,misinfo,2021-02-04,WhatsApp,covid
The virology center of Wuhan is related with GSK and Pfizer,['the chinese government is working with vaccine companies'],"['feel mistrustful', 'feel scared']",['learn more'],5.0,misinfo,misinfo,2021-02-04,Facebook posts,covid
Colombian doctor Manuel Elkin Patarroyo says that the immunity produced by vaccines against COVID-19 is short-lived.,['covid-19 vaccine will not protect you for long'],"['feel fearful', 'feel scared']",['try to understand'],4.0,misinfo,misinfo,2021-02-03,"Facebook, Twitter and TikTok post",covid
Baseball player Hank Aaron died after receiveing COVID-19 vaccine,"['vaccines might be dangerous', 'covid-19 vaccine is dangerous']","['feel upset', 'feel scared', 'feel worried', 'feel fearful', 'feel mad']","['find out if his death was due to the vaccine', ""make sure this didn't stop people from getting the vaccine""]",4.0,misinfo,misinfo,2021-02-03,Robert F. Kennedy Jr.,covid
"Csar Tralli was caught rollerskating on Leblon beach, Rio de Janeiro, without masks",['people do not always wear masks when they should'],"['feel frustrated', 'feel annoyed']",['skip this article'],1.0,misinfo,misinfo,2021-02-02,Facebook,covid
The American Journal of Medicine admitted it was wrong about hydroxychloroquine; a new study showed hydroxychloroquine reduces mortality rate of COVID-19 patients,['hydroxychloroquine is helpful to fight covid-19'],"['feel interested', 'feel upset']",['read more'],4.0,misinfo,misinfo,2021-02-01,Jim Hoft; Gateway Pundit,covid
"Coronavac is 17 times more expensive than the Oxford vaccine: one costs US$ 58, the other costs US$ 3.40",['coronavac is too expensive'],"['feel upset', 'feel annoyed']",['share the article'],4.0,misinfo,misinfo,2021-02-01,Facebook,covid
A publication that claims that the Pfizer vaccine causes sterility in women,"['some publications are spreading false news', 'vaccines can cause infertility', 'pfizer vaccine causes sterility in women']","['feel curious', 'feel mad', 'feel scared', 'feel worried']","[""reassure people that it isn't true"", 'avoid taking the vaccine']",3.0,misinfo,misinfo,2021-01-31,Media outlets,covid
Health professionals recommend self-medication with drugs such as azithromycin against COVID-19,"['it is not necessary to go to a doctor', 'azithromycin helps with covid-19 symptoms', 'it is better to self medicate']","['feel hopeful', 'feel interested']",['learn more'],4.0,misinfo,misinfo,2021-01-30,Facebook,covid
"Pfizer's chief executive Albert Bourla refused to take the Covid-19 vaccine manufactured by his company because ""my type is not recommended"".","['the vaccine is dangerous', 'pfizer vaccine is dangerous', ""the head of the vaccine company knows something the average person doesn't about vaccine downsides""]","['feel fearful', 'feel scared', 'feel worried']","[""know why he is refusing his own company's vaccine"", 'avoid the vaccine']",4.0,misinfo,misinfo,2021-01-29,Facebook,covid
Pfizer's vaccine caused facial paralysis in 13 cases in Israel,['pfizer has had side effects'],['feel worried'],['reassured'],1.0,misinfo,misinfo,2021-01-29,"Facebook, Media outlets",covid
"The World Health Organization admitted that PCR tests are resulting in widespread false positives for the virus that causes Covid-19, and asked laboratories to change the way they are conducted.","['testing equipment and practices are not valid', 'pcr tests are not trustworthy']","['feel angry', 'feel upset', 'feel scared']",['read the details'],3.0,disagreement,misinfo,2021-01-29,Facebook,covid
Coronavirus does spreads through frozen food.,"['covid is not easily transmitted via frozen food', 'eating frozen food can kill you from the coronavirus', 'frozen food is safe.', ""there's no risk of getting coronavirus from food."", 'food is not even a source of transmission of the virus.', 'you can get the coronavirus from frozen food']","['feel relieved about this information', 'feel relieved', 'feel scared', 'feel worried']","['cook frozen food', 'spend less time disinfecting groceries']",2.6666666666666665,disagreement,misinfo,2021-01-28,Whatsapp,covid
The group that represent the colombian government in the negotiation with Pfizer did not how to speak in english,['columbian representatives could not speak english'],['feel unsure'],['learn more'],1.0,real,misinfo,2021-01-28,Articles,covid
The Spanish Government is going to give 560 euros to those who test positive for coronavirus,['the spanish government compensates for getting covid'],"['feel hopeful', 'feel excited']",['share the article'],4.0,misinfo,misinfo,2021-01-27,Instagram,covid
"Carlos Bolsonaro, son of President Jair Bolsonaro, skipped the line and received a dose of the Covid-19 vaccine",['government officials skip the covid vaccine line'],"['feel angry', 'feel upset']",['learn more'],4.0,misinfo,misinfo,2021-01-25,Facebook posts,covid
The National Death Index indicates that there were fewer deaths in 2020 than in 2019,['covid does not kill a lot of people'],"['feel curious', 'feel hopeful']",['talk to a friend about it'],4.0,misinfo,misinfo,2021-01-25,WhatsApp,covid
Nobel medicine Tasuku Honjo said that coronavirus was not natural,['government created coronavirus'],"['feel angry', 'feel mistrustful', 'feel scared']",['try to understand'],4.0,misinfo,misinfo,2021-01-22,Facebook posts,covid
WHO made a statement and admitted that PCR tests are futile when it comes to coronavirus detection.,"['the pandemic is ""fake"" news.', 'the virus is really fake.', 'technology methods for testing are not working.', 'pcr tests are ineffective', 'who contradicts itself']","['feel curious', 'feel disappointed', 'feel angry', 'feel scared']","['protest', 'clarify the information or validate it']",3.0,misinfo,misinfo,2021-01-21,Media Outlet,covid
The Mayor of Bogota said that the capital was the second city in America with more ICU beds after New York,"['there is a flux in an unknown city of the coronavirus', 'an official is revealing a secret about disease statistics.']",['feel confused'],['figure out what the man was talking about'],1.0,misinfo,misinfo,2021-01-20,Twitter,covid
Prof. Dr. Ates Kara told that transmission via bread is possible,"['you can get covid-19 by eating any bread', 'gloves should be worn while preparing food', 'bread is dangerous.', 'eating restaurant or takeout food is dangerous', 'food may be unsafe during the pandemic', 'the virus can easily spread through prepared foods']","['feel worried about foodborne infection', 'feel scared']","['get rid of their bread', ""avoid food that they hadn't prepared themselves""]",1.5,misinfo,misinfo,2021-01-19,Twitter,covid
"An article from the Tierra Pura site that states that ""aborted fetuses are being used in vaccines"" against COVID-19","['the shots used to prevent the virus are derived from dead babies.', 'fighting the virus is evil or unnatural.', 'dead human parts are injected in vaccines', 'vaccines are being made unethically', 'immunizations are evel.']","['feel appalled', 'feel angry', 'feel sad']","['not take the vaccine', 'verify the information', 'dispute the claims']",1.5,misinfo,misinfo,2021-02-11,Media outlets,covid
Colombian doctor Manuel Elkin Patarroyo's warnings about the Sputnik V vaccine,"['there are dangers created by space organizations.', 'some medicine is intentionally harmful.', 'the shot is dangerous', 'there are conspiracies that endanger the public']",['feel curious'],['find out what the warnings were'],2.0,real,misinfo,2021-02-05,Facebook,covid
"Albert Bourla, Pfizer's CEO, said he would not take the company's vaccine",['the shot for the coronavirus is dangerous'],['feel suspicious'],['tell everyone that the shot for the virus is bad'],1.0,misinfo,misinfo,2021-02-04,Facebook,covid
"Joe Biden has stated hydroxychloroquine is effective against COVID-19, and the media refused to criticize him","['the media victimized trump', 'the media is guilty of disseminating ""fake"" news']","['feel amused', 'feel worn out']","['refute the statemen', 'point out the discrepensies in news reportage']",2.0,misinfo,misinfo,2021-01-25,Facebook,covid
COVID-19 vaccines produce seizures,"[""people shouldn't get vaccines"", 'covid vaccines are unsafe to take', ""elected officials aren't concerned about the public"", 'prevention is dangerous', 'vaccines are dangerous', 'government entities are behind a dangerous plan to hurt ordinary citizens']","['feel afraid', 'feel angry', 'feel scared']","['blame liberals', 'avoid getting the covid vaccine', 'deny the vaccine']",2.0,misinfo,misinfo,2021-01-23,Whatsapp,covid
People should consume herbal remedies instead of taking the Covid-19 vaccine.,"['vaccines are not needed', 'home treatments are effective']",['feel happy'],['buy remedies'],4.0,misinfo,misinfo,2021-02-11,Facebook,covid
"France woke up. Doctors, nurses, policemen, firemen are no longer part of the new world order. They renounced to be part of the psychopathic plandemia","[""the pandemic isn't real"", 'medical professionals and first-responders are willing participants in a global hoax.', ""the essential workers don't believe in the pandemic"", 'people in france think the pandemic is a hoax.']","['feel confused at how crazy this all seems', 'feel upset', 'feel afraid']","['completely disregard this author', 'help the front line workers', 'prepare']",2.5,misinfo,misinfo,2021-02-04,Facebook,covid
No deaths from COVID-19 in Israel because of a cure for the virus made with lemon and baking soda,"['the government has found a cure', 'there is a cure for the virus', 'the pandemic is over']","['feel happy', 'feel relieved']","['use the home remedy', 'learn more']",4.0,misinfo,misinfo,2021-02-02,Social media,covid
"A tonic made of onions, ginger, garlic, lemon and hot water can cure Covid-19.","['there is a cure for the virus', 'the pandemic is over', 'home remedies work']",['feel happy'],['go out and get the ingredients'],4.0,misinfo,misinfo,2021-01-29,Facebook,covid
In a public meeting Putin said that he knows the diabolical plans that the world leaders have with coronavirus,"[""people shouldn't trust their world leaders"", 'the pandemic was planned']",['feel scared'],['know more about the virus'],4.0,misinfo,misinfo,2021-01-28,Facebook posts,covid
A doctor in Pakistan offering free treatment to those in need.,['people with low economic means can get treatment'],"['feel grateful', 'feel happy']","['donate money', 'offer support']",5.0,real,misinfo,2021-01-21,Facebook,covid
Amish religious communities have not been affected by the deadly Covid-19 pandemic.,"[""amish people live removed from society so covid can't reach them"", 'social isolation is a perfect barrier to spread of covid.', 'the amish have had no cases.']","['feel safe', 'feel relieved']",['practice what the amish do to stay safe'],2.0,disagreement,misinfo,2021-02-12,Facebook,covid
"Anglica, TV presenter, said she is not taking the COVID-19 vaccine because she has ""high immunity""",['some people think they are naturally immune.'],['feel anger about entitled celebrities'],['get her fired'],2.0,misinfo,misinfo,2021-01-19,WhatsApp,covid
Dulles brothers created WHO,['a cabal might have been instrumental in the creation of who.'],['feel suspicious'],['avoid sharing this article'],2.0,misinfo,misinfo,2021-02-12,Facebook,covid
A man blowing vape smoke through various face masks shows that they do not help prevent the spread of coronavirus,"['vape vapor can be used to test masks.', 'masks are ineffective in slowing the spread of covid.', ""the masks most people use aren't effective""]","[""feel helpless that they can't do anything effective in lessening their risks""]","['find more effective, medical grade masks']",3.0,misinfo,misinfo,2021-02-05,"Facebook, Twitter and Youtube",covid
Rio Grande do Norte state government let 4 thousand doses of COVID-19 vaccines rot,"['political authorities are incompetent.', 'vaccines are being wasted.']",['feel angry'],['hold political leadership accountable'],2.0,misinfo,misinfo,2021-02-05,JerÃÂ´nimo do SertÃÂ£o (activist),covid
"Amap state has adopted ""early treatment"" protocol and has the lowest lethality rates in the world","['local government mandated treatments can be efficacious.', 'health policies can impact covid outcomes', 'certain approached to treatment decrease covid deaths', 'different approaches to treatment can decrease covid death rates', 'this state has made a good decision', 'rapid application of treatments can increase good outcomes.', 'early treatment can reduce mortality.']","['feel inspired', 'feel hopeful that quick diagnosis and treatment can be effective']","['know more about this plan', 'get tested as soon as symptoms appear']",4.0,real,misinfo,2021-01-25,Facebook,covid
Masks cause hypoxia,"['government mask mandates are killing citizens', 'masks are more dangerous than viruses']",['feel afraid of getting sick'],['avoid wearing masks'],1.0,misinfo,misinfo,2021-01-15,,covid
Ecuador find the cure for coronavirus,"['an effective cure for the coronavirus exists', 'people are being cured in other countries', 'the governments of most countries are covering up a cure that one nation has found']","['feel hopeful about an available cure', 'feel angry that their government had covered this up']","['find ways to import the cure', 'acquire the treatments illegally']",1.0,misinfo,misinfo,2021-01-25,WhatsApp,covid
The ARNm vaccine changes DNA.,"['the government is hiding the harmful consequences of certain vaccines', 'some vaccines can be dangerous', 'arnm vaccines change our dna.']","['feel scared of vaccine side effects', 'feel confused', 'feel angry about being misinformed']","['avoid vaccines that may have unforeseen consequences', 'not get the vaccine']",1.0,misinfo,misinfo,2021-01-21,Facebook posts,covid
"Ignoring vaccination groups priorities, Brazilian soccer player Neymar cuts in vaccine line","['people cheat to get what they want', ""the vaccines aren't being given equitably""]","['feel mad', 'feel worried']","['have some consequences for this action', ""be reassured that more people aren't cheating to get the vaccine""]",4.0,real,misinfo,2021-01-19,Social media posts,covid
Vaccination is harmful to people who have recovered from COVID-19,"['vaccines are dangerous for some people', ""people shouldn't get the vaccine if they've had covid""]","['feel scared', 'feel worried']","['avoid getting a vaccine', 'know if they had covid without symptoms']",2.0,misinfo,misinfo,2021-02-08,Media outlet,covid
"Ex-boss Pfizer said that world don't need vaccines against COVID-19, because pandemic ended.","['some people think society is ""done"" with covid']","['feel confused', 'feel worried']","['know if their leaders are lying to them', 'know why this person made such a weird statement']",4.0,misinfo,misinfo,2021-01-22,News Outlets,covid
"The Mayor of Bogot, Claudia Lpez, said in January that it was ""very possible"" that the increase in infections in the city at that time was related to SARS-CoV-2 mutations.","['infection rates may increase as the coronavirus mutates', 'mutations can increase covid tranmission']",['feel worried'],['find out if the mutated verson was in their country'],3.0,real,misinfo,2021-01-22,"Statements by the Mayor of BogotÃÂ¡, Claudia LÃÂ³pez.",covid
Nurse Tiffany Dover died after getting COVID-19 vaccine.,"['the covid-19 vaccine is dangerous.', ""the covid-19 vaccine wasn't adequately tested for safety.""]",['feel worried about vaccine safety'],"['know more about whether or not this individual did die, and if it was caused by the vaccine']",3.0,misinfo,misinfo,2020-12-20,"Facebook, YouTube",covid
"Metro Manila will be placed on lockdown or modified enhanced community quarantine (MECQ) on Saturday, December 19.","['the coronavirus is spreading too quickly throughout metro manila.', 'the government of the philippines is struggling to contain the spread of the coronavirus.']",['feel stressed out to see more countries struggle with the spread of the virus'],['know how bad the spread of the virus is in the philippines'],3.0,real,misinfo,2020-12-19,Chain message,covid
"Governor of So Paulo, Joo Doria, was mocked by TV station in the USA for CoronaVac's effectiveness rate","['the vaccine is not as potent', 'the government disregards their country', 'coronavac is not suitable for widespread use.', 'coronavac is not a very effective vaccine.']",['feel humiliated'],['protest the government'],2.5,disagreement,misinfo,2021-01-14,Social media posts,covid
Half of the medical personnel at German clinics refused the coronavirus vaccine. This was revealed in an anonymous survey conducted by ARD-Deutschland-Trend,"['some think vaccines not safe', 'there is serious mistrust of some of the new coronavirus vaccines.', 'german medical professionals are more worried about the safety risks from coronavirus vaccine than they are the risk of the virus.']","['feel surprised that even medical professionals would turn down the coronavirus vaccine', 'feel nervous']","['know why', 'learn more about their reasons why']",3.0,misinfo,misinfo,2021-01-14,Media Outlet,covid
The mayor of London faked taking a COVID-19 jab,"['the government is withholding information about the vaccines from the general public.', 'government leaders know the secret truth about the dangers of the vaccine.', 'the coronavirus vaccine is actually more dangerous than we think.', 'officials do not trust the vaccine', 'the vaccine is not safe']","['feel upset', 'feel disgusted']","['protest getting the vaccine', 'not get the vaccine']",2.5,misinfo,misinfo,2020-12-18,Facebook,covid
"The main opposition party, CHP, made drafted a proposal to make the COVID-19 vaccine mandatory back in 2019.","['the government knew about covid and hid it from the public', 'the chp might have been reckless.', 'the chp was making hasty decisions.']","['feel shocked', 'feel concerned that the chp was making decisions without enough data on the new vaccines']","['avoid having the government make decisions about vaccine mandates before a vaccine is even developed', 'find out if the government knew about covid before the pandemic started']",3.5,disagreement,misinfo,2020-12-17,Instagram,covid
"The FDA has admitted that the vaccine causes adverse effects such as heart attack, seizure, thrombus and even death","['the fda has downplaying the risks associated with the vaccine.', 'the risks may not be worth it', 'the fda has been keeping important safety information hidden from the public.', 'disease may be better than side effects', 'vaccines have big risks', 'the new coronavirus vaccine has far more health risk than we previously realized.']","['feel concerned about the safety of the vaccine', 'feel scared']","['know if this information is actually true', 'know the statistics']",1.5,misinfo,misinfo,2020-12-17,Facebook posts,covid
China is collecting human DNA from all over the world through its vaccines in order to create a biological weapon,"['china is trying to conquer the world via silent genocide', 'the chinese government has a secret and evil agenda.', 'china is seeking to wipe out the rest of the world.']","['feel scared', 'feel that this is a complete conspiracy theory', 'feel angry at china']","['revolt against china', 'contact officials to prevent china from doing this', 'disregard such silly statements']",1.5,misinfo,misinfo,2020-12-17,"Blog, YouTube",covid
COVID-19 Vaccine destroys the immune system,"['the covid-19 vaccines are not actually safe.', 'the covid-19 vaccine has not been properly tested.']",['feel worried about the safety of the new covid-19 vaccines'],['know if this information is even slightly true'],1.0,misinfo,misinfo,2021-01-12,Facebook,covid
Europe interdits all chinese vaccines,"['vaccines from china are unsafe', ""the chinese government doesn't care enough about safety."", 'chinese vaccines are unsafe', 'vaccines from china are untested', 'the risks of the chinese developed coronavirus vaccines are too high.']",['feel relieved that the government is restricting unproven vaccines'],['get only the vaccines that have been adequately tested for safety'],3.5,misinfo,misinfo,2020-12-16,Facebook,covid
Doctors are recommending that COVID-19 vaccines be injected into the penis.,['there is a highly unusual need to deliver the coronavirus in a painful way.'],['feel highly skeptical about the validity of this'],['not read any further'],1.0,misinfo,misinfo,2021-01-11,Multiple FB users,covid
