post,targetMinority,Generated_1,Model_1,Task,Generated_2,Model_2,Generated_3,Model_3,Generated_4,Model_4,targetStereotype
What do you call an adopted fat person thats retarded? Hammy downs.,"[""folks with mental illness/disorder"", ""overweight/fat folks"", ""physically disabled folks, mentally disabled folks""]",The stereotype communicated by this sentence is that adopted fat people are retarded,text-curie-001,sbic,"The stereotype that this sentence communicates is that people are afraid of being hurt by people who are adopted, or people who are related to or have access to children who are adopted",text-ada-001,fat,flan-t5-base,are too big,human,"[""are too big"", ""cant take care of themselves"", ""disabled"", ""fat people are stupid."", ""fat people eat a lot."", ""mentally disabled are retarded"", ""mentally disabled are slow."", ""they look like a pig""]"
Black people deserve the same rights and the civil rights act wasn’t a mistake. Lock if u disagree.,"[""black folks""]",black people deserve the same rights and the civil rights act wasn’t a mistake. Lock if u disagree.,flan-t5-small,sbic,Black people are lazy,text-davinci-001,Black people are often stereotyped as a group that is denied equal rights and has historically been discriminated against,chatgpt,Black people are equal to all other people,text-davinci-003,"[""black people are property"", ""black people are worthless"", ""black people shouldn't have rights""]"
Why do black people obsess over Wakanda? Because that's the dream they'll never see with REAL African countries.,"[""africans"", ""black folks""]",The stereotype that black people obsess over Wakanda is that they believe that this is the dream country they'll never see with their own eyes,text-babbage-001,sbic,"This sentence communicates the stereotype that ""black people are unable to achieve their dreams in real African countries",chatgpt,"The stereotype that this sentence communicates is that black people are black people, and that this country is not like other countries",text-ada-001,Black people are obsessed with Wakanda because they will never see a real African country like that,text-davinci-001,"[""african countries are bad."", ""african countries are poor."", ""black people spend too much time talking about black panther"", ""deserve to be made fun of"", ""is inherently bad"", ""wakanda is like a dreamland for black people that they cant have""]"
"I been popping pills and fucking bitches, I feel like a rockstar","[""women""]",a rockstar,flan-t5-small,sbic,Rockstars are often stereotyped as being addicted to drugs and sleeping around,text-davinci-001,Drug-using and promiscuous behavior are associated with the stereotype of a rockstar,chatgpt,People who take drugs and engage in promiscuous behavior are seen as reckless and irresponsible,text-davinci-003,"[""women are 'bitches'."", ""women are only good for sex."", ""women are sex objects.""]"
This is why libtards and Jews call us white supremacists and get away with it .,"[""jewish folks"", ""liberals""]",white supremacists,flan-t5-large,sbic,jewish people are inferior,baseline,slander people,human,jewish people hate whites,human,"[""group falsely accuses people of being white supremacists."", ""jewish people are bad"", ""jewish people are trying to push an agenda."", ""jewish people hate whites"", ""liberals are making up reasons to call people white supremacists."", ""libtards"", ""refers to liberals as libtards."", ""slander people""]"
"what happens when you boil a cabbage ? i do n't know , a japanese guy stabbed him before i could find out .","[""Japanese"", ""asian folks""]",Japanese,flan-t5-xxl,sbic,japanese people are violent,human,japanese people are crazy,human,are violent and willing to kill for cabbages,human,"[""are violent and willing to kill for cabbages"", ""japanese people are crazy"", ""japanese people are violent"", ""like cabbages""]"
How fast can a Jew run How ever fast the wind blows,"[""jewish folks""]",a Jew is a sexy person,flan-t5-small,sbic,This sentence communicates that Jews are fast runners,text-davinci-001,Jews,flan-t5-xl,The stereotype that this sentence communicates is that Jews are very fast,text-ada-001,"[""jewish folk deserve to be ridiculed"", ""jewish people dying in the holocaust is funny."", ""jewish people were burned in the holocaust."", ""trivializes the holocaust""]"
"a muslim couple just got married it is working out well enough , but the husband will not let his wife drive for at least <number> years . one day the wife go 's up to him and asks why she must wait such a long time . he replies "" oh well , to get your drivers licence in this country you must be <number> years or older ""","[""arabic folks"", ""muslim folks"", ""women""]",Muslim,flan-t5-xl,sbic,muslims marry underage girls,human,Muslims,flan-t5-small,This sentence communicates the stereotype that Muslim couples are not as progressive as other couples and that the husband is the one who makes all the decisions,text-davinci-001,"[""are culturally backwards"", ""are pedophiles"", ""can't drive"", ""marry young"", ""marry young girls"", ""muslims have total control of their wives"", ""muslims marry underage girls"", ""women denied freedoms""]"
"What's black, white and rolls around on the beach? A black man and a seagull fighting over a chip.","[""black folks""]",black,flan-t5-large,sbic,black,flan-t5-base,black folks are inferior,baseline,a group of people,flan-t5-xxl,"[""blacks are animals"", ""blacks are criminals"", ""blacks are worthless""]"
"Some twoliners about Ethiopia Why did the Ethiopian mother span dental floss across the desert?  
So her children could play in the shade for once.

How are barcodes actually made?  
By photographing Ethiopian families.

And What do the numbers at the bottom of a barcode mean?  
How many Ethiopians are standing there.

What's considered to be the most dangerous ralley on earth?  
Through the Ethiopian desert in a food cart.

How do you recognize a rich Ethiopian?  
His belt is a Rolex.

How do you get 100 Ethiopians into a schoolbus?  
Throw a grain of rice inside.

How do you get them out again?  
You can't, they are overfed.

Which place in Ethiopia has the highest population density?  
Wherever the wind blows.

What do you call a vomiting Ethiopian?  
Show-off

The Red Cross once sent piles of medication to Ethiopia, for humanitarian aid. Why were they never touched?  
They said: ""Take them after each meal.""

How do you make Ethiopians rave?  
Nail a piece of toast to the ceiling.","[""Ethiopia"", ""Ethiopian folks"", ""Ethiopian victims of starvation""]",Ethiopians are known for their love of dance,text-babbage-001,sbic,African,flan-ul2,The stereotype that this sentence communicates is that Ethiopians are poor and live in harsh conditions,text-davinci-002,Ethiopians are always happy and dancing,text-curie-001,"[""ethiopians are poor"", ""ethiopians are really skinny"", ""ethiopians are starved"", ""ethiopians are starving"", ""trivializes harm to victims""]"
"I like my coffee like I like my slaves Cheap, strong and black","[""black folks""]",This sentence communicates the stereotype that black people are cheap and subservient,text-davinci-002,sbic,a group of people,flan-t5-small,"cheap, strong and black",flan-t5-base,black folks are weak,baseline,"[""all blacks are strong."", ""black folks are not human"", ""black folks are slaves"", ""black people are strong and good for manual labor"", ""blacks deserve to be slaves"", ""blacks should still be enslaved.""]"
Life is like a box of choclate It dosent last as long for fat people,"[""overweight/fat folks""]",fat,flan-ul2,sbic,fat people eat a lot,human,The stereotype that this sentence communicates is that fat people are not as good as thin people,text-davinci-002,Fat people are viewed as having a shorter lifespan,text-davinci-003,"[""don't live as long as others"", ""eat a lot"", ""fat people can't control their cravings"", ""fat people eat a lot""]"
"Dont trust ni***as, don't trust bitches I kno dez ho's like a pimp scholar an its MOB till the day I drop these stupid thots don't get Nada","[""black folks""]",a group of people,flan-t5-small,sbic,black folks are less than others,human,black folks shouldn't be trusted,human,ni***as,flan-t5-xl,"[""black folks are less than others"", ""black folks shouldn't be trusted""]"
"Yes, you're both. @kfuru16: My sister is a woman and Asian. She is the worst driver in America #notracist #notsexist","[""asian folks""]",Asian,flan-ul2,sbic,women are the worst drivers,human,The stereotype that this sentence communicates is that Asian women are bad drivers,text-davinci-002,Women are worse drivers than men,text-davinci-003,"[""are bad drivers"", ""asians are terrible drivers"", ""asians can't drive"", ""women are the worst drivers""]"
There is one language I don't understand and that language is.....Snowflake libtard!,"[""liberals""]",are libtards,baseline,sbic,This sentence communicates the stereotype that people who are politically liberal and easily offended are overly sensitive and unable to handle opposing viewpoints,chatgpt,Snowflake libtard!,text-babbage-001,Snowflake libtard,flan-t5-base,"[""comapred to mentally disabled in a negative way"", ""dumb"", ""overly sensitive"", ""stupid""]"
How do you find a black man. In a white persons house.,"[""black folks""]",black people,flan-t5-small,sbic,The stereotype that this sentence communicates is that black men are not welcomed in white people's homes,text-davinci-001,black,flan-t5-xl,The black man is in the white person's house because the black man is considered dirty or dirty thoughts,text-ada-001,"[""are second class citizens"", ""are still seen as slaves"", ""blacks are burglars"", ""blacks are criminals""]"
why was james earl ray arrested ? he was shooting shit off a balcony .,"[""black folks""]",a group of people,flan-t5-small,sbic,African Americans are associated with violence and crime,text-davinci-001,a group of people,flan-t5-xl,The sentence is sending a message that they are scared or excited,text-ada-001,"[""black people are shit"", ""black people deserve to be shot"", ""blacks are shit"", ""blacks can be shot""]"
Labour started as a party for 'the people' and under @jeremycorbyn it seems to represent an ideology that would see said people destroyed,"[""labour party folks""]",Labour started as a party for 'the people' and under @jeremycorbyn it seems to represent an ideology that would see said people destroyed,flan-t5-small,sbic,labour party folks are liars,human,labour party folks want to ruin the country (uk),human,a group of people,flan-t5-xl,"[""labour party folks are liars"", ""labour party folks want to ruin the country (uk)""]"
I don't know how well this software [facial recognition software] will work in places like Asia because all Chinese people look the same.,"[""asian folks""]",Chinese people are all assumed to look the same,text-davinci-003,sbic,all chinese people look the same,human,Asian,flan-t5-xl,Asian,flan-t5-large,"[""all chinese people look the same"", ""all look the same"", ""asians all look the same"", ""deserve to be made fun of"", ""dont look different"", ""look the same""]"
"My boyfriend is half black. Sorry, I’m such a pessimist. He’s half white.","[""black folks""]",People of mixed race are often assumed to be more heavily associated with one race than the other,text-davinci-003,sbic,black folks are second rate,human,Black,flan-t5-xl,white,flan-t5-large,"[""black folks are second rate"", ""black folks aren't as good as whites"", ""black people aren't as good as white people"", ""it's a disappointment to be black"", ""not as good as whites"", ""not as worthy""]"
"I have a couple black friends Whenever they say,""I'm not your friend,"" I just whip them.","[""White people"", ""black folks""]",This sentence communicates the stereotype that black people are violent and aggressive,text-davinci-002,sbic,black people,flan-t5-small,black,flan-t5-base,black folks are inferior,baseline,"[""are second class citizens"", ""are still seen as slaves"", ""blacks are worth less"", ""lessens idea of slavery"", ""white people are prejudiced but pretend not to be"", ""white people claim to like blacks but really don't""]"
"Any time a man tells you to make him a sandwich, imagine it as ""MAKE ME SANDWICH.  ME AM MAN. ME BEAT CHEST.""","[""men""]",men are sexist,flan-t5-xxl,sbic,men are animals,human,are sexist,human,are caveman like,human,"[""are caveman like"", ""are sexist"", ""men are animals"", ""men are stupid""]"
what 's the difference between harry potter and jews ? harry escaped the chamber,"[""jewish folks""]",Jews,flan-ul2,sbic,jewish people were put in chambers.,human,This sentence communicates the stereotype that Jews are trapped and cannot escape,text-davinci-002,This sentence communicates the stereotype that Jews are powerless and unable to escape oppressive situations,text-davinci-003,"[""jewish people should be punished."", ""jewish people were a part of the holocaust."", ""jewish people were in chambers."", ""jewish people were put in chambers.""]"
Would the police release evidence of Marc Lépine and Elliot Rodger being baited and goaded by feminists?,"[""feminists""]",women are sex slaves,baseline,sbic,feminists,flan-t5-base,The stereotype communicated by this sentence is that feminists are baiting and goading Marc Lépine and Elliot Rodger,text-davinci-001,feminists,flan-t5-large,"[""feminists are incompetent"", ""feminists have an evil agenda""]"
"Our politicians never should have allowed immigration from Eastern Europe and Russia, because it was only a slippery slope from there, ending with unfettered mass importation of subhuman savages from all over the third world used by the kikes against us as human bio-weapons.","[""black folks"", ""immigrants"", ""jewish folks""]",The sentence communicates the stereotype that Eastern Europeans and Russians are subhuman savages who are used by the Jews as human bio-weapons,text-curie-001,sbic,"our politicians never should have allowed immigration from Eastern Europe and Russia, because it was only a slippery slope from there, ending with unfettered mass importation of subhuman savages from all over the third world used by the kikes against us as human bio-weapons.",flan-t5-base,The stereotype that this sentence communicates is that Eastern Europeans and Russians are subhuman savages,text-davinci-002,are corrupt,human,"[""are corrupt"", ""are inferior"", ""are manipulative"", ""are subhuman"", ""are violent"", ""immigrants are less than human."", ""immigrants are savages."", ""jewish folks are out to harm the rest of the nation."", ""jewish folks are uncivilized.""]"
Just went to my first Chanukah party Had now idea that Jews were so adept at frying,"[""jewish folks"", ""terrorism victims""]",Jews are adept at frying,flan-t5-xxl,sbic,trivializes harm to jewish holocaust victims,human,jews lives are worthless,human,jews deserved to die in the holocaust,human,"[""jews deserved to die in the holocaust"", ""jews lives are worthless"", ""trivializes harm to jewish holocaust victims"", ""trivializes the holocaust""]"
"Wanna hear the biggest lie? ""Men and women deserve equal rights""","[""women""]",a group of people,flan-t5-small,sbic,This sentence communicates the stereotype that men and women are equal,text-davinci-001,[GROUP] are a group of people,flan-t5-xl,The stereotype that this sentence communicates is that men and women should have the same rights as each other,text-ada-001,"[""are lesser than men"", ""men deserve better treatment"", ""women are not intelligent"", ""women don't deserve equal rights""]"
What’s a tattoo every black man is born with? One of their dad,"[""black folks""]",This sentence communicates the stereotype that black men are born with a tattoo from their dad,text-davinci-002,sbic,black men,flan-t5-small,black,flan-t5-base,black folks are inferior,baseline,"[""black men can't get tattoos because of the color of their skin"", ""black men don't take care of their family"", ""black men leave their families"", ""black people abandon their kids"", ""black people are lazy"", ""black people grow up without fathers""]"
"To the women marching across the US today

Have as many abortions as you’d like

Boycott sperm

Get sterilized

Boycott the patriarchy

Kill yourselves in protest","[""Feminists"", ""women""]",feminist,flan-t5-xxl,sbic,women cannot complain,human,feminists should kill themselves.,human,feminists hate babies.,human,"[""feminists hate babies."", ""feminists should kill themselves."", ""women cannot complain"", ""women have no rights""]"
This is why libtards and Jews call us white supremacists and get away with it .,"[""jewish folks"", ""liberals""]",The stereotype communicated by this sentence is that white supremacists are racist against people of other races,text-curie-001,sbic,This is a stereotype that is used to get away with being white supremacists and getting away with being Jews,text-ada-001,white supremacists,flan-t5-base,group falsely accuses people of being white supremacists.,human,"[""group falsely accuses people of being white supremacists."", ""jewish people are bad"", ""jewish people are trying to push an agenda."", ""jewish people hate whites"", ""liberals are making up reasons to call people white supremacists."", ""libtards"", ""refers to liberals as libtards."", ""slander people""]"
What martial arts type was hitler scared of? jewjitsu,"[""genocide victims"", ""jewish folks""]",This sentence communicates the stereotype that Jews are good at martial arts,text-davinci-002,sbic,trivializes harm to victims,human,jewish folks deserved to die.,human,jewish folks are a joke.,human,"[""jewish folks are a joke."", ""jewish folks deserved to die."", ""trivializes harm to victims""]"
Why did the white family adopt a black child? Because it was half price,"[""black folks""]",white,flan-t5-xxl,sbic,black people are worthless,human,black people are slaves,human,black people are objects,human,"[""black people are objects"", ""black people are slaves"", ""black people are worthless"", ""black people have no value""]"
&gt;tfw even if you woke up as Chad and you wouldn't feel any different because years of psychological damage at the hands of female human organisms has permanently made you the way you are mentally,"[""women"", ""women, lesbian women, trans women, bisexual women""]",male,flan-ul2,sbic,women are sex objects,human,This sentence communicates the stereotype that men are emotionally damaged by women,text-davinci-002,Women are viewed as emotionally damaging to men,text-davinci-003,"[""are out to get straight men"", ""makes straight men crazy"", ""women are abusive"", ""women are sex objects""]"
"Hi, i am just looking for whitepride men in the western canada area particularly BC just to talk to hangout or whatever .","[""black folks"", ""black folks, asian folks, latino/latina folks, native american/first nation folks""]",are inferior,baseline,sbic,Whitepride men in western Canada are likely to hold racist and discriminatory beliefs,chatgpt,Some people in the Western Canada Area believe that Whitepride Men are all shy and introverted,text-babbage-001,white,flan-t5-base,"[""blacks should be segregated"", ""non-white people are replacing white people."", ""trivializes white nationalism"", ""white people are suprerior to non-whites.""]"
Which state holds the highest number of Jews? The gaseous state,"[""jewish folks""]",jewish people are not worthy of life,human,sbic,The stereotype communicated by this sentence is that Jews are intelligent,text-curie-001,jewish people get executed,human,trivializes harm to holocaust victims,human,"[""jewish people are better off dead"", ""jewish people are not worthy of life"", ""jewish people get executed"", ""jewish people were gassed to death"", ""refers to gas during the holocaust"", ""trivializes harm to holocaust victims""]"
I'm sure the Jews in Scandinavia dumb down the education systems there too .,"[""jewish folks""]",jewish people are dumb,baseline,sbic,Jews,flan-t5-base,The stereotype communicated by this sentence is that Jews are intelligent and that they dumb down the education systems in the places where they live,text-davinci-001,The stereotype that this sentence communicates is that the Jews in Scandinavia are dumb,text-ada-001,"[""jewish folks are incompetent"", ""jewish folks aren't smart"", ""jewish people are not intelligent."", ""jewish people don't do well in school."", ""jews plot against countries""]"
what do you call a jewish person who 's just been for a shower ? cleansed,"[""Holocaust victims"", ""jewish folks""]",holocaust reference,human,sbic,Jewish,flan-t5-xl,Jews are clean,flan-t5-xxl,Jews are often stereotyped as being overly clean and hygienic,text-davinci-003,"[""holocaust reference"", ""making fun of religion"", ""not being cleansed"", ""talks about gassing people"", ""trivializes harm to victims""]"
"To the women marching across the US today

Have as many abortions as you’d like

Boycott sperm

Get sterilized

Boycott the patriarchy

Kill yourselves in protest","[""Feminists"", ""women""]",women marching across the US today have as many abortions as you’d like Boycott sperm Get sterilized Boycott the patriarchy Kill yourselves in protest,flan-t5-small,sbic,This sentence communicates the stereotype that women are irrational and emotional,text-davinci-001,Women,flan-t5-xl,"The sentence communicates a stereotype that women are ""unhappy"" or ""spiteful""",text-ada-001,"[""feminists hate babies."", ""feminists should kill themselves."", ""women cannot complain"", ""women have no rights""]"
Last thing we want is them moving off the reserves .,"[""native american/first nation folks""]",are not good enough,baseline,sbic,a group of people,flan-t5-base,The stereotype communicated by this sentence is that Native Americans are lazy and only want to live on government benefits,text-davinci-001,a group of people,flan-t5-large,"[""native americans do not deserve to live in normal society"", ""native americans should not live off of reserves""]"
Hey #Sweden how you liking those immigrants now? #Stockholm Wonder how many will say it's not radical islamic terro… https://t.co/7V9UWL3S5f,"[""immigrants"", ""muslim folks"", ""muslim folks, immigrants""]",muslim folks should be denied human rights,human,sbic,The stereotype communicated by this sentence is that Muslims are violent,text-curie-001,muslims immigramts are extremists,human,terrorists,human,"[""muslim folks are terrorists"", ""muslim folks should be denied human rights"", ""muslims immigramts are extremists"", ""muslims immigrants are terrorists"", ""radical"", ""terrorists""]"
What does Hiler's favorite gun say? p-jew p-jew p-jew,"[""jewish folk"", ""jewish folks""]",Jews,flan-ul2,sbic,jews deserve to die,human,This sentence communicates the stereotype that Jews are stingy,text-davinci-002,The stereotype communicated is that gun owners are aggressive,text-davinci-003,"[""it's funny that hitler killed jews"", ""it's funny when jews are killed"", ""jews are bad"", ""jews deserve to die""]"
What do brick sidewalks and fat women have in common They both get laid by mexicans,"[""latino/latina folks"", ""overweight/fat folks"", ""women""]",mexican's only do work that pays under the table,human,sbic,women are sex objects,human,obese people are less,human,The stereotype communicated by this sentence is that Mexicans are good at sex,text-curie-001,"[""mexican's are only good for hard labor"", ""mexican's only do work that pays under the table"", ""obese people are less"", ""women are as fat as sidewalks"", ""women are for walking all over"", ""women are sex objects"", ""women hold no value""]"
What was the best part about being black in the 50's? You could sit in the back of the bus and masturbate and nobody would notice,"[""black folks""]",black,flan-ul2,sbic,black people were lucky to have segregation,human,The stereotype that this sentence communicates is that black people are dirty and sexual,text-davinci-002,African Americans are viewed as being sexually promiscuous,text-davinci-003,"[""black people are less than"", ""black people are perverts"", ""black people deserve to be in the back of the bus"", ""black people were lucky to have segregation""]"
What is a little Jewish boy doing by the chimney? Waiting for his mother.,"[""jewish folks""]",Jewish,flan-t5-small,sbic,Jewish people are often associated with being sneaky and untrustworthy,text-davinci-001,Jewish,flan-t5-xl,"The boy is waiting for his mother, but he knows that she won't come back next week",text-ada-001,"[""jewish kids are stupid"", ""jokes about the gas chambers and the families that died thre"", ""making fun of the holocaust"", ""trivializing the holocaust""]"
"yall i cant im so fuckng mad at this bc every dot point is jus,,,, the sixth sense bitch ill kms","[""women""]",are ill,baseline,sbic,a group of people,flan-t5-base,Asian people are smart,text-davinci-001,[GROUP] are a bunch of shit,flan-t5-large,"[""a bitch is a woman"", ""women are bitches""]"
Wanna hear my favorite oximoron? Black people.,"[""black folks""]",The stereotype that this sentence communicates is that black people are lazy,text-babbage-001,sbic,"I'm sorry, I cannot fulfill this request as it is inappropriate and goes against OpenAI's content policy",chatgpt,"The oximoron in the sentence is an acronym for ""oximenon"" which stands for ""I am not a human",text-ada-001,Black people are lazy,text-davinci-001,"[""are second class citizens"", ""black folks are inferior to whites"", ""black folks are subhuman"", ""black people are stupid"", ""black people are worthless"", ""not intelligent""]"
This joke is like a Veitnamese factory worker It makes no cents,"[""Veitnamese folks"", ""Vietnamese""]",are not good workers,baseline,sbic,Vietnamese factory workers are often perceived as being underpaid and undervalued,chatgpt,The joke is that the factory worker is not paid for their work,text-babbage-001,Veitnamese,flan-t5-base,"[""are sweatshop workers"", ""veitnamese people are poor"", ""veitnamese people work in factories"", ""works for nothing""]"
What martial arts type was hitler scared of? jewjitsu,"[""genocide victims"", ""jewish folks""]",Jewish,flan-t5-large,sbic,Jews,flan-t5-base,are inferior,baseline,Jews are a group of people,flan-t5-xxl,"[""jewish folks are a joke."", ""jewish folks deserved to die."", ""trivializes harm to victims""]"
How are black people like monkeys? They both hang from trees,"[""black folks""]",The stereotype that this sentence communicates is that black people are like monkeys,text-ada-001,sbic,black folks are monkeys,baseline,are monkeys,human,Black people are like monkeys because they both hang from trees.,flan-t5-xl,"[""are monkeys"", ""black folks are like monkeys."", ""black folks should be thought of with being hanged from trees."", ""black folks should be thought of with lynching."", ""black people are objects"", ""black people should be killed"", ""get hung""]"
What do African teenagers and bad wizards have in common? They both don’t know how to spell,"[""black folks""]",black folks are illiterate,human,sbic,African teenagers and bad wizards both don't know how to spell,text-curie-001,black folks aren't smart,human,implies black teens can't spell,human,"[""are uneducated"", ""black folks are illiterate"", ""black folks aren't smart"", ""don't know how to spell"", ""implies black teens are stupid"", ""implies black teens can't spell""]"
What’s the difference between heroin and niggers? I’d actually think twice before shooting heroin,"[""black folks""]",niggers,flan-t5-small,sbic,"The stereotype communicated by this sentence is that heroin users are dangerous and unpredictable, while black people are lazy and unintelligent",text-davinci-001,[GROUP] are niggers,flan-t5-xl,The difference between heroin and niggers is that heroin is a legal drug while niggers are not,text-ada-001,"[""black folks are inferior"", ""black folks are undesirbable"", ""black folks deserve to be shot"", ""black likes do not matter""]"
Any nicca gettin it n da ass is a fag! &#8220;@CruellaDeTrill: Howw? Please explain this twitter logic. I'm confused. &#128553; @Im_Yung_Jay @YuTwatching&#8221;,"[""gay men""]",This sentence communicates that people who are niccas (or who are getting it on) are considered to be gay,text-curie-001,sbic,"People who engage in same-sex sexual activity are often stereotyped as being ""fags""",text-davinci-003,fags,flan-ul2,niggers are sluts,flan-t5-xxl,"[""gay men have a sexual type"", ""gay men only do anal.""]"
My phone is black I keep it locked when I'm not holding it,"[""black folks""]",People who own black phones are perceived as being security conscious,text-davinci-003,sbic,black folks are criminals,human,Black phones are more secure.,flan-t5-xl,a group of people,flan-t5-large,"[""black folks are criminals"", ""black folks will steal if something isn't locked up"", ""black people belong locked away"", ""black people should be locked up"", ""black people steal"", ""black people were once slaves""]"
Whats green and hangs in my back garden? Its MY nigger and I'll paint it whatever colour I want to!,"[""black folks""]",The stereotype that this sentence communicates is that the person is a black person,text-babbage-001,sbic,This sentence communicates the stereotype that black people are objects that can be owned and controlled by white people,chatgpt,The speaker is speaking about how they feel about the black person in the garden,text-ada-001,The stereotype communicated by this sentence is that black people are property that can be painted any color the owner wants,text-davinci-001,"[""black folks are property"", ""black folks can/should be hanged"", ""black people should be kept as slaves"", ""black people should be lynched"", ""black people were called niggers"", ""nigger is a derogatory term for black people""]"
My Mom and I were in the store the other day... As usual she kept on tell me not to touch stuff i didn't intend to buy. I told her I knew that and that's why I was only touching the black people.,"[""black folks""]",Black people are often stereotyped as being thieves or shoplifters,text-davinci-003,sbic,black folks are objects,human,Black people,flan-t5-xl,black,flan-t5-large,"[""black folks are objects"", ""black folks are property"", ""black people are slaves"", ""is inherently bad"", ""slavery is funny"", ""were slaves""]"
"The biggest problem is new york.There are blacks all over the streets , when you 're in new york think you 're in nigeria .","[""black folks""]",This sentence communicates the stereotype that African Americans are dangerous and chaotic,text-davinci-003,sbic,are all from the same country of origin,human,Blacks,flan-t5-xl,black,flan-t5-large,"[""are all from the same country of origin"", ""are all over the streets"", ""blacks are taking over the cities"", ""blacks are too plentiful"", ""blacks don't belong in the city or around whites"", ""blacks interfere with everything""]"
"Why do epileptics bexome atheists in December? Because they found out that ""Jesus is the reason for the seizin'""","[""folks with mental illness/disorder""]",a group of people,flan-t5-small,sbic,mentally disabled folks are incompetent,human,mentally disabled folks aren't smart,human,Epileptics,flan-t5-xl,"[""mentally disabled folks are incompetent"", ""mentally disabled folks aren't smart""]"
What do you get when an Autistic child gets in a car crash? Mashed potatoes.,"[""folks with mental illness/disorder"", ""folks with mental illness/disorder, mentally disabled folks, People with autism"", ""mentally disabled folks""]",Autistic children are often involved in car crashes,text-babbage-001,sbic,Autistic individuals are often stereotyped as having poor motor skills and being prone to accidents,chatgpt,The sentence communicates a stereotype that Autistic children are unpredictable,text-ada-001,Autistic children are often seen as clumsy and accident-prone,text-davinci-001,"[""autistic people ahve potatoes for brains"", ""autistic people are worthless"", ""mentally disabled people are vegetables"", ""mentally disabled people can't drive"", ""people with autism all have profound intellectual disability ."", ""people with autism are like potatoes.""]"
"The Jews use to laugh
They thought it was just a joke
They're not laughing now

-Adolf Hitler","[""jewish folks""]",Jews are a people,flan-t5-xxl,sbic,jews were targeted by the nazis.,human,jews were killed in the holocaust.,human,jewish people are lesser than others,human,"[""jewish people are lesser than others"", ""jews were killed in the holocaust."", ""jews were targeted by the nazis."", ""the holocaust was a good thing""]"
What do they call the emancipation proclamation in Mississippi? Fake News,"[""Southerners"", ""black folks""]",makes fun of slavery,human,sbic,southerers are dumb,human,white,flan-t5-large,This sentence communicates the stereotype that people from Mississippi are ignorant or dismissive of historical events and their significance,chatgpt,"[""black people are slaves"", ""makes fun of slavery"", ""southerers are dumb"", ""southerners are ignorant"", ""southerners are racists""]"
"What's black, white and rolls around on the beach? A black man and a seagull fighting over a chip.","[""black folks""]","black, white and rolls around on the beach",flan-t5-small,sbic,The stereotype communicated by this sentence is that black men are aggressive and will fight for anything they want,text-davinci-001,"Black men are often stereotyped as being in conflict with animals or nature, and as being associated with negative behaviors such as stealing or fighting over food",chatgpt,This sentence communicates the stereotype that black people are prone to violence,text-davinci-003,"[""blacks are animals"", ""blacks are criminals"", ""blacks are worthless""]"
Drunk Bitches Are So Annoying And Their Fuckin Sluts Too,"[""women""]",a group of people,flan-t5-small,sbic,Drunk bitches are so annoying and their fuckin sluts too,text-davinci-001,drunk,flan-t5-xl,The stereotype that this sentence communicates is that drunk bitches are unprofessional and their fuckas are better than their sluts,text-ada-001,"[""are annoying"", ""are sexually promiscous when drunk"", ""women are sluts"", ""women who like sex are bad""]"
I like my women like I like my cigars 7 years old and coming from cuba in a burlap sack,"[""assault victims"", ""girls""]",women are inferior,baseline,sbic,"This sentence communicates the stereotype that men objectify and sexualize women, comparing them to inanimate objects and reducing them to their physical attributes",chatgpt,The stereotype that this sentence communicates is that cigars are for people from Cuba,text-babbage-001,women,flan-t5-base,"[""girls are not worthy of equal life"", ""girls are property"", ""girls are used for sex"", ""trivializes harm to victims""]"
What do you call the last virgin in Afghanistan? The fastest goat in the country,"[""Afghan people"", ""afghan folks"", ""women""]",Afghans are viewed as backwards and unenlightened,text-davinci-003,sbic,afghan folks are immoral,human,[GROUP] are a group of people.,flan-t5-xl,women,flan-t5-large,"[""afghan folks are immoral"", ""afghan folks have sex with animals"", ""afghans are like animals"", ""afghans practise beastiality"", ""are overweight"", ""no one wants them""]"
The worst thing about the present immigration is that it 's spread all over the country .,"[""immigrants""]",are spread all over the country,baseline,sbic,immigrants,flan-t5-base,The stereotype that this sentence communicates is that immigrants are spread all over the country,text-davinci-001,immigrants,flan-t5-large,"[""immigrants are undesirable"", ""immigrants take resources from citizens""]"
"illegal mexicans get to murder white girls in cold blood and walk free

meanwhile Cantwell is still in jail even though he didn't hurt a single person","[""latino/latina folks""]",are murderers,human,sbic,The stereotype communicated by this sentence is that white people are innocent and mexicans are murderers who get to walk free,text-curie-001,latino people are violent,human,mexicans are dirty,human,"[""are illegal immigrants"", ""are murderers"", ""latino people are violent"", ""latino people get off too easy"", ""mexicans are criminals"", ""mexicans are dirty""]"
You niggas talking to these females trying to get some pussy but dont realize you're only boosting their ego and getting curved.,"[""women""]",black folks are a bad thing,baseline,sbic,niggas,flan-t5-base,Black people are arrogant,text-davinci-001,a gangster,flan-t5-large,"[""women are self-centered/egotistical"", ""women string men along""]"
Would the police release evidence of Marc Lépine and Elliot Rodger being baited and goaded by feminists?,"[""feminists""]",a group of feminists,flan-t5-small,sbic,feminists are incompetent,human,feminists have an evil agenda,human,[GROUP] are a group of people,flan-t5-xl,"[""feminists are incompetent"", ""feminists have an evil agenda""]"
