Generated_1,Generated_2,Generated_3,Model_1,Model_2,Model_3,Task,headline,misinfo,writer_intent,Generated_4,Model_4
"""Vaccine trials have risks",vaccines are dnagerous,,chatgpt,human,,mrf,Six people died due to Pfizer and BioNTech vaccine trials,misinfo,['vaccines are dnagerous'],,
'tourism conglomerate faces climate change head-on',"""Taking action on climate change is essential",the author is implying  that global tourism companies care about climate change,baseline,text-davinci-003,human,mrf,Global tourism conglomerate faces climate change head-on in new sustainable travel strategy,real,"['the author is implying  that global tourism companies care about climate change', 'a new travel strategy is being implemented to combat climate change']",,
Some actions are better than others,the climate situation is serious enough to warrant tougher measures,'the climate change is a problem',text-davinci-003,human,baseline,mrf,EU ministers set tougher 2030 climate target into law,misinfo,"['the climate situation is serious enough to warrant tougher measures', 'current measures were not effective enough in slowing climate change']",,
Focus on Cooperation,unknown intent,,text-davinci-003,human,,mrf,"Trudeau to tout climate and trade at Asia-Pacific summit where China, U.S. dominate",real,['unknown intent'],,
'vitamin D insufficiency may account for the majority of COVID-19 deaths',Vitamin D supplementation may help reduce COVID-19 deaths,vitamins can help battle covid-19,baseline,text-davinci-003,human,mrf,Vitamin D insufficiency may account for the majority of COVID-19 deaths,misinfo,"['vitamins can help battle covid-19', 'over the counter medicines can prevent covid-19', 'low vitamin intake could increase chance of getting infection']",,
"The implied message is ""the importance of safety measures""",Tragic death of a six-year-old girl on a school bus,unknown intent,text-davinci-003,chatgpt,human,mrf,A six-year-old girl from the Schweinfurt area of Bavaria fainted on a school bus on September 28 while returning home from school and died.,misinfo,['unknown intent'],,
"""Vaccination is not optional",'the vaccine is not safe',officials are forcing people to take the vaccine,text-davinci-003,baseline,human,mrf,A resident of an old people's home was threatened she would lose her place there if she refuses the vaccination,misinfo,"['officials are forcing people to take the vaccine', 'there is a vaccine mandate']",,
Lockdowns are ineffective,trump's favorite covid adviser does not agree with lockdown policies,'the russians are a 'terrorists'',text-davinci-003,human,baseline,mrf,Trump's Favorite COVID Adviser Goes on Kremlin-Backed RT to Blast Lockdowns as 'Epic Failure',real,"[""trump's favorite covid adviser does not agree with lockdown policies"", 'republicans see lockdowns as useless.', ""the president of a country employees people who don't believe in covid lockdowns"", ""trump's favorite covid adviser does not agree with lockdowns as working against covid""]",,
The Moderna vaccine is safe and effective,Misleading and inaccurate,the moderna vaccine is unsafe.,text-davinci-003,chatgpt,human,mrf,21% of people are having serious adverse events from (the Moderna) vaccine.,misinfo,"['the moderna vaccine is unsafe.', 'moderna vaccine is not properly validated for safety.']",'the vaccine is not safe',baseline
people sending emails is contributing to climate change,'emails are a waste of time',Every action counts,human,baseline,text-davinci-003,mrf,Climate change: Can sending fewer emails really save the planet?,real,"['people sending emails is contributing to climate change', 'emails can endanger the planet', 'using emails to communicate is harmful to the environment']",,
"Possible answer: ""Lab has ties to big pharma",there is a conspiracy behind covid.,,chatgpt,human,,mrf,The Wuhan Virology Laboratory has a link with GSK and Pfizer,misinfo,"['there is a conspiracy behind covid.', 'pfizer and gsk have ties to to the lab that might have created covid', 'the wuhan virology laboratory is linked with the vaccine makers and there is a conspiracy going on', 'pfizer and gsk have ties to the lab which potentially created covid']",,
climate change can cause financial damage,Regulate to Reduce Risk,'the u.s. financial regulators are a tool to fight global warming',human,text-davinci-003,baseline,mrf,Biden's advisors urge him to use 'U.S. financial regulation as a tool to fight global warming'  Central banks to 'mitigate climate risks to financial markets',misinfo,['climate change can cause financial damage'],,
Official stigmatizes poor in vaccination drive,an official said poor people were a burden,,chatgpt,human,,mrf,Filipino official branded poor people a 'burden' in coronavirus vaccination drive,misinfo,['an official said poor people were a burden'],,
the funding for climate change was low,Some progress is better than none,'climate change is a big issue',human,text-davinci-003,baseline,mrf,Climate Wins  Sort of  in a Largely Inadequate Stimulus Package,misinfo,['the funding for climate change was low'],,
there isn't enough support from the public for these suggestions to work,"The implied message is ""radical action is needed""",'the net zero advice is a political suicide note',human,text-davinci-003,baseline,mrf,UK Committee on Climate Change's Net Zero advice to government is 'a political suicide note',misinfo,"[""there isn't enough support from the public for these suggestions to work""]",,
Global elite must reduce carbon footprint,global elite cause a lot of carbon emissions,,chatgpt,human,,mrf,Climate change: Global 'elite' will need to slash high-carbon lifestyles,real,"['global elite cause a lot of carbon emissions', 'many wealthy people are wasteful.', 'wealthy rarely live environmentally conscientious lifestyles.', 'a disproportionate few are creating a lot of waste.']",,
the president hired new people for positions,Biden selects environmental leaders for key positions,,human,chatgpt,,mrf,"Biden taps Haaland for Interior, N.C. environment chief Regan for EPA",real,['the president hired new people for positions'],,
email is contributing to climate change,'cbs fets too much e-mailing contributes to global warming',Reduce E-Mail Usage to Help the Environment,human,baseline,text-davinci-003,mrf,CBS Frets Too Much E-MAILING Contributes to Global Warming,misinfo,['email is contributing to climate change'],,
only global tariffs will help australia on climate change,'the world is going to have to pay more',Tariffs are a necessary step to combat climate change,human,baseline,text-davinci-003,mrf,Global tariffs the only way to end Australia's climate criminality,real,['only global tariffs will help australia on climate change'],,
the pzifer vaccine might be risky to receive.,'they were very severe',The second dose can be more intense,human,baseline,text-davinci-003,mrf,"Media outlets report that ""A Pzifer Vaccine Volunteer Warns of Second Dose Symptoms: 'They were very severe'""",misinfo,"['the pzifer vaccine might be risky to receive.', 'people should avoid thepzifer vaccine', 'there may be some serious side-effects caused by the pzifer vaccine.', 'the second dose symptoms are severe enough to warrant not getting vaccinated']",Second dose symptoms can be severe,chatgpt
'fracking is causing climate change',fracking worsens climate change,"The implied message is ""Climate change has serious consequences",baseline,human,text-davinci-003,mrf,Climate crisis: Lancashire fracking site 'leaked emissions equivalent to 142 transatlantic flights',misinfo,"['fracking worsens climate change', 'allowing hydraulic fracturing is a disaster in itself.']",,
"The implied message is: ""Act now on climate change",biden could fight climate change by use executive powers,'biden could use executive power to fight climate change',text-davinci-003,human,baseline,mrf,How Biden Could Use Executive Powers to Fight Climate Change,real,"['biden could fight climate change by use executive powers', 'there is no room for compromise on environmental policy', ""only one of america's two major parties takes the environment seriously""]",,
biden is active on climate matters,Some actions speak louder than words,'biden doesn't mention green new deal',human,text-davinci-003,baseline,mrf,Biden gives a nod to environmental 'activists' but doesn't mention Green New Deal in message commemorating Paris Agreement,real,"['biden is active on climate matters', 'the potus slighted aoc']",,
people believe climate change has stopped due to covid,Climate change is still a pressing issue,,human,chatgpt,,mrf,'Climate change didn't stop when Covid came along'  UN's deputy secretary-general,real,"['people believe climate change has stopped due to covid', 'climate change is ongoing']",,
The implied message is: Take action now to prevent disaster,'eco-disasters are inevitable',Impending environmental catastrophe,text-davinci-003,baseline,chatgpt,mrf,Rusting oil tanker could create one of the worst environmental disasters in history,misinfo,['there is a rusting tanker that could cause bad damage to the environment'],there is a rusting tanker that could cause bad damage to the environment,human
wearing a mask makes you ingest covid-19,Anti-mask sentiment,,human,chatgpt,,mrf,"Fight against wearing a mask. It is known that by wearing a mask you ingest 100 times more carbon dioxide. Over time, the blood vessels suffer, the respiratory tract suffers. This is not something I say, it has been said by famous experts ",misinfo,"['wearing a mask makes you ingest covid-19', 'wearing a mask is harmful']",,
'the PCR test is a test of a dr',this person may not actually be a real doctor,Some tests are more reliable than others,baseline,human,text-davinci-003,mrf,"The claims of Ben Tapper, who introduced himself as a doctor, about the PCR test",misinfo,['this person may not actually be a real doctor'],,
biden needs to fight for net zero to combat the climate crisis,Biden must prioritize achieving net zero emissions,,human,chatgpt,,mrf,The Guardian view on Biden and the climate crisis: fight for net zero | Editorial,real,['biden needs to fight for net zero to combat the climate crisis'],,
Eating certain foods can help with recovery,eating oranges roasted with brown sugar will restore loss of taste and smell due to covid-19 infection,'eating roasted orange and brown sugar will restore your sense of taste if you have recovered from COVID-19',text-davinci-003,human,baseline,mrf,Eating roasted orange and brown sugar will restore your sense of taste if you have recovered from COVID-19,misinfo,"['eating oranges roasted with brown sugar will restore loss of taste and smell due to covid-19 infection', 'a lot of people are struggling with loss of taste and smell after covid.', 'nature ingredients will make someone less susceptible to covid.', 'eating roasted orange and brown sugar will cure your taste buds from covid', 'simple treatments can return a sense of smell lost to covid']",,
Equitable solutions are needed,'climate change is affecting coastal communities',people should move from coastal cities,text-davinci-003,baseline,human,mrf,"Coastal communities facing climate change need an equitable retreat, geographer says",real,"['people should move from coastal cities', 'coastal cities will be effected']",,
"IHK Cologne held a large gathering with Jens Spahn during pandemic
99	['climate opinions have effect on election vote']	Election day's impact on climate change
100	['anyone can die of covid']	Covid-19 can be deadly
101	['big corporate interests are ruining any actions to combat global warming', 'fighting climate action harms society in ways that demand recompense', 'big corporations creates natural tragedies by trouncing on protections', 'big corporate money is supporting the damages of global warming by preventing protections']	SoCalGas is being held accountable for hindering efforts to address climate change
102	['covid-19 vaccine will cause irreversible damage to our dna']	mRNA vaccines have potential risks
103	['covid can spread from dirty bathrooms']	Washroom faucet caused COVID-19 outbreak
104	['the current administration is going to handle the climate issues much more efficiently']	Climate science is real
105	['plants and alcoholic drinks can kill the virus alone']	Simple remedy found for COVID-19",the ihk and minister of health don't take covid seriously,,chatgpt,human,,mrf,"The IHK Cologne organized a party with 250 guests with minister of health, Jens Spahn, in November",misinfo,"[""the ihk and minister of health don't take covid seriously"", 'the government is not following its own orders']",,
The implied message is: Take Action Now,we need to learn to live with the fact that climates change.,'climate change is a big problem',text-davinci-003,human,baseline,mrf,Climate Anxiety: Navigating Our Emotions as the Planet Changes,misinfo,['we need to learn to live with the fact that climates change.'],,
'the government is imposing fines on the poor',The implied message is: Take precautions seriously,the government is issuing fines in trying times,baseline,text-davinci-003,human,mrf,Warnings on fines as England's new lockdown begins,real,"['the government is issuing fines in trying times', 'pandemic is getting worse', 'some regions are fining citizens for now following quarantine laws', 'people are being fined']",,
vaccines are harmful.,False and misleading information,,human,chatgpt,,mrf,CoronaVac causes cancer and 'suicidal thoughts',misinfo,"['vaccines are harmful.', 'vaccine is dangerous', 'vaccine can cause mental disorders', 'public health authorities are lying to the people.', 'vaccine causes disease']",,
treatments are working,Equine serum cures COVID-19,,human,chatgpt,,mrf,Serum made from equine plasma cures COVID-19,misinfo,"['treatments are working', 'equine plasma cures covid', 'covid can be cured with plasma from horses', 'plasma from horses can cure the virus.', ""we don't have to worry too much because covid can be treated"", 'serum from plasma can cure covid']",,
Carbon capture is not a silver bullet,Carbon capture is not effective,'carbon capture is not a climate Savior',text-davinci-003,chatgpt,baseline,mrf,Carbon Capture Is Not a Climate Savior,real,['using already emitted co2 will only help so far'],using already emitted co2 will only help so far,human
hidroxychloroquine and azitromicin are proven effective against covid-19,Hydroxychloroquine and azithromycin work against COVID-19,,human,chatgpt,,mrf,A study from University of So Paulo proved hidroxychloroquine and azitromicin are effective against COVID-19,misinfo,['hidroxychloroquine and azitromicin are proven effective against covid-19'],,
biden has taken a stance on climate control,'biden's policies on climate change are a bad idea',Joe Biden is committed to tackling climate change,human,baseline,text-davinci-003,mrf,Biden's policies on climate change,real,['biden has taken a stance on climate control'],,
'the compulsory use of masks is the cause of the spread of the infectious fungus Candida auris',Wear the right mask,people should not wear masks,baseline,text-davinci-003,human,mrf,"The ""compulsive use of masks"" is the cause of the spread of the infectious fungus Candida auris and is associated ""with a 40% of hospital mortality""",misinfo,"['people should not wear masks', 'disease transmission is increased by mask wearing', 'masks cause more harm than good']",,
it's a grave mistake to join international treaties,'ted clinclin is trying to keep john mccain from rejoining the disastrous iran deal and the climate accord',The implied message is: Work together for a better outcome,human,baseline,text-davinci-003,mrf,"Ted Cruz has a plan to keep Biden from rejoining disastrous Iran deal and Paris climate accord, but he needs Trump's help",misinfo,"[""it's a grave mistake to join international treaties"", 'ted cruz is against biden rejoining the paris climate accord']",,
unknown intent,The UK needs to consider all options to reach its climate goals,,human,text-davinci-003,,mrf,Does the UK need new nuclear power to reach its climate goals?,misinfo,['unknown intent'],,
prairie climate will become drier,Climate change is having an impact,'the climate change is a big problem',human,text-davinci-003,baseline,mrf,"Scientists predict Prairie climate to become drier, grassier and fiery",real,"['prairie climate will become drier', 'climate change will cause changes in the ecosystem']",,
vaccine is not safe,Misleading and false information,,human,chatgpt,,mrf,COVID-19 vaccine caused the new strain in the UK,misinfo,"['vaccine is not safe', 'vaccine caused the new strain of the virus', 'the pandemic is a conspiracy to keep people in lockdown']",,
 infection rates are too high for lockdowns to stop,"The implied message is ""Prepare for a prolonged period of restrictions",'government says new lockdown could last longer than month',human,text-davinci-003,baseline,mrf,Govt says new English lockdown could last longer than month,real,"[' infection rates are too high for lockdowns to stop', 'some countries are mandating long quarantine periods']",Lockdown may be extended,chatgpt
India is leading in climate change efforts among G20 nations,most nations aren't following climate change goals they set,,chatgpt,human,,mrf,Report: India Is the Only G20 Nation Honoring Its Paris Climate Accord Commitments,misinfo,"[""most nations aren't following climate change goals they set"", 'india is the only country honoring its climate change agreement']",,
'the white house is a big fan of climate change',the white house lost confidence in their top climate change official,Climate change is not a priority for the White House,baseline,human,chatgpt,mrf,White House Ousts Top Climate Change Official,misinfo,['the white house lost confidence in their top climate change official'],"The message implied is ""Climate Change Denial is Official Policy",text-davinci-003
"The implied message is ""There is hope for the future",there is a secret weapon against climate change,'climate change is a secret weapon',text-davinci-003,human,baseline,mrf,This could be our secret weapon against climate change,misinfo,['there is a secret weapon against climate change'],,
Take precautions seriously,unknown intent,,text-davinci-003,human,,mrf,World Health Organization's (WHO) director-general said he had tested positive for COVID-19,misinfo,['unknown intent'],,
restaurants want to attract customers in new ways during the pandemic,'the new deli is a great place to eat',Adapting to Survive,human,baseline,text-davinci-003,mrf,"Topolobampo launches 5-course to-go menu, new deli opening in West Loop: How Chicago restaurants are adapting to draw you back in",real,['restaurants want to attract customers in new ways during the pandemic'],,
lily cole is focused on environment and not art,'i'm focusing on the environment',"The implied message is: ""Taking action on the environment is more important than artistic pursuits",human,baseline,text-davinci-003,mrf,Lily Cole: Why I'm focusing on the environment rather than artistic projects,real,['lily cole is focused on environment and not art'],,
"The implied message is ""not enough action""",climate plan is not great,'boris' is a far cry from a green revolution',text-davinci-003,human,baseline,mrf,Boris Johnson's 10-point climate crisis plan is a far cry from a green revolution,misinfo,['climate plan is not great'],,
'the president is going to turn up the heat on climate change',biden will do more for the climate,Take action on climate change,baseline,human,text-davinci-003,mrf,Joe Biden to Turn Up Heat on Climate Change,real,['biden will do more for the climate'],,
Ukrainian coronavirus tests are overpriced,covid-19 tests only cost a couple of dollars in most place around the world,,chatgpt,human,,mrf,"Ukrainian authorities sell coronavirus tests for 1700 UAH (around $ 60), although their price in the rest of the world is $ 2.5.",misinfo,"['covid-19 tests only cost a couple of dollars in most place around the world', ' all countries are different in their approach', 'some countries take advantage of citizens', 'ukrainian government is profiting off of covid-19 tests']",,
The message is: Take action on climate change,'the european union is a'state'',teens are leading away in the global warming movement,text-davinci-003,baseline,human,mrf,European states ordered to respond to youth activists' climate lawsuit,real,['teens are leading away in the global warming movement'],,
'the ARNm vaccine changes DNA',the government is hiding the harmful consequences of certain vaccines,"The implied message is ""vaccines have powerful effects",baseline,human,text-davinci-003,mrf,The ARNm vaccine changes DNA.,misinfo,"['the government is hiding the harmful consequences of certain vaccines', 'some vaccines can be dangerous', 'arnm vaccines change our dna.']",,
"The implied message is ""free vaccines are available""",'covax vaccines are free and the colombian government did not pay for them',columbia received free covid vaccines,text-davinci-003,baseline,human,mrf,Covax vaccines are free and the colombian government did not pay for them,misinfo,"['columbia received free covid vaccines', 'cost of vaccine is payed by some unknown', ""the columbian government didn't pay for vaccines"", 'there are false claims on vaccines', 'covid vaccines are free', 'some governments getting supplied by other governments', 'profits are not being made from covid vaccines', 'colombia received the vaccine for free']",,
'natural treatment for coronavirus',There is no cure for coronavirus,covid-19 can be treated with home remedies.,baseline,text-davinci-003,human,mrf,A natural treatment for coronavirus,misinfo,"['covid-19 can be treated with home remedies.', 'there is a natural treatment for covid', 'natural treatments should be preferred over phramaceutical ones', 'natural things can cure coronavirus', 'people should use this treatment', 'coronovirus can be treated with commonly available items.']",,
Climate change impacts advertising industry,more people are caring about climate change inititiatives,'climate change is a big problem',chatgpt,human,baseline,mrf,Climate Change Turns up the Heat on Ad Industry,real,"['more people are caring about climate change inititiatives', 'the ad industry is being affected by climate change']","The implied message is ""Climate Change is having an impact on the advertising industry",text-davinci-003
'the new strain of coronavirus was announced by Boris Johnson',More research is needed,Scientists have not confirmed the new strain of coronavirus,baseline,text-davinci-003,chatgpt,mrf,The new strain of coronavirus was announced by Boris Johnson. Scientists have not made any statement on the issue.,misinfo,"['public is easy to mislead', 'political figures may know more than others', ""government official wasn't supposed to tell the public"", 'the pandemic is not close to being over']",public is easy to mislead,human
The implied message is: Taking action on climate change is a priority,'fossil fuel influence targeted in fight to control climate agenda in next parliament',political entities are focused on big industry in the fight against global warming,text-davinci-003,baseline,human,mrf,Fossil fuel influence targeted in fight to control climate agenda in next parliament,real,"['political entities are focused on big industry in the fight against global warming', 'big corporations have undue influence in the fight against global warming']",,
"Long queues form in Sierra Nevada due to mobility restrictions
423	['a natural remedy can cure/prevent  a virus.']	False claim about guava leaf and COVID-19
424	['environmentalists are alarmists', 'too much focus on environmental protection weakens national security']	China's green NGOs are misleading on climate change
425	['government officials do not believe in the covid vaccine']	World leaders receive special treatment",society does not listen to government orders,,chatgpt,human,,mrf,"People queuing in Sierra Nevada after the Government of Andalusia approved the mobility restriction measures on January 16, 2021",misinfo,"['society does not listen to government orders', 'the mobility restriction measures are what caused people to start queuing']",,
'the climate change bill is a disaster',Opposition unimpressed with climate legislation,the government hasn't done much about climate change,baseline,chatgpt,human,mrf,The Drilldown: Opposition disappointed with government's climate legislation,real,"[""the government hasn't done much about climate change""]",The implied message is that the government's climate legislation is inadequate,text-davinci-003
'the governor is not going to do anything about it',"The implied message is ""vaccines are key to fighting COVID-19",government is rolling out the vaccine soon,baseline,text-davinci-003,human,mrf,Maryland governor on COVID-19 vaccine rollout,real,"['government is rolling out the vaccine soon', 'vaccines are coming soon']",,
Antibody rapid tests may not be reliable,getting tested is worthless,,chatgpt,human,,mrf,Austrian politician Michael Schnedlitz shows in parliament that an antibody rapid test reacts positive to Coca Cola,misinfo,"['getting tested is worthless', ""tests aren't accurate""]",,
'canadians need proactive climate change strategies now',climate change is accelerating,Take action now to avoid costly consequences later,baseline,human,text-davinci-003,mrf,Canada needs proactive climate change strategies now to avoid huge disaster bills later,real,"['climate change is accelerating', 'canada needs to take action on climate change now to avoid high costs and bills', 'changes need to be made now to prev']",,
"""Pfizer Covid jab causes facial paralysis in Israelis",medical condition may be the result of vaccine.,,chatgpt,human,,mrf,"""13 Israelis suffer FACIAL PARALYSIS after taking Pfizer Covid jab""",misinfo,"['medical condition may be the result of vaccine.', 'vaccines are dangerous']",,
johnson's pick is a climate change denier,Fracking may not be good for the environment,'fracking is bad for the environment',human,text-davinci-003,baseline,mrf,Revealed: Boris Johnson's Climate Change Champion Called Fracking 'Good For UK',real,"[""johnson's pick is a climate change denier"", ""boris johnson's champion on climate change thinks fracking is a good thing""]",,
Holiday returns are environmentally harmful,'the holiday returns come with a massive environmental footprint',"The implied message is ""Think before you buy""",chatgpt,baseline,text-davinci-003,mrf,Those holiday returns come with a massive environmental footprint,real,"['returning holiday gifts has a bad impact on the environment.', 'even simple behaviors by consumers cause a lot of environmental damage']",returning holiday gifts has a bad impact on the environment.,human
Some media is not to be trusted,'new footage shows a walrus',netflix is lying about deaths of walruses due to climate change,text-davinci-003,baseline,human,mrf,New Footage Reveals Netflix Faked Walrus Climate Deaths,misinfo,['netflix is lying about deaths of walruses due to climate change'],,
"The implied message is: ""Follow social distancing guidelines",'train passengers breached social distancing guidelines following the resumption of local railway services',covid-19 is easily transmiscovid-19 is easily transmissible on public transportationsible on public transportation,text-davinci-003,baseline,human,mrf,Train passengers breached social distancing guidelines following the resumption of local railway services.,misinfo,"['covid-19 is easily transmiscovid-19 is easily transmissible on public transportationsible on public transportation', 'train passengers do not take covid precautions seriously']",,
merkel believes these two superpowers must step up on climate change,"'the u.s. and germany must stand'side by side' in handling climate change and coronavirus,' 'the u.s. and germany must stand'side by side'","The implied message is ""united we stand, divided we fall",human,baseline,text-davinci-003,mrf,"US and Germany must stand 'side by side' in handling coronavirus and climate change, says Angela Merkel",misinfo,['merkel believes these two superpowers must step up on climate change'],,
you can get covid-19 testing in a mosque for $45,COVID-19 vaccine availability and pricing vary by location,,human,chatgpt,,mrf,"COVID-19 vaccine is sold for $ 45 in a mosque in Bahcelievler, Istanbul",misinfo,"['you can get covid-19 testing in a mosque for $45', 'religious institutions selling vaccines is unethical', 'covid-19 testing is available for $45 in mosques']",,
governments aren't meeting environmental pledges,The Tories are not living up to their commitments,'tories slammed for lack of progress on environmental promises made nine years ago',human,text-davinci-003,baseline,mrf,Tories slammed for lack of progress on environment promises made nine years ago,misinfo,"[""governments aren't meeting environmental pledges"", 'that political party lacks integrity', 'people care about lack of action on the environment', ""conservatives don't care about environment""]",,
a slow motion disaster may destroy farmland in the near future,UK's fruit and veg imports affected by climate change,,human,chatgpt,,mrf,UK increasingly reliant on fruit and veg from climate-hit countries  study,real,"['a slow motion disaster may destroy farmland in the near future', 'production of these foods will be harmed by climate change']",,
'biden must do more than undo damage to climate change',the current rpesident needs to make meaningful steps on climate change,Take bold action on climate,baseline,human,text-davinci-003,mrf,"On Climate, Biden Must Do More than Undo Trump's Damage",real,"['the current rpesident needs to make meaningful steps on climate change', 'the former rpesident did such extensive damage that a lot of work is needed to recoup the losses']",,
'the best university in the world is a 'best university'',Some institutions are not living up to their responsibility,princeton is bad for the environment,baseline,text-davinci-003,human,mrf,"The US's ""Best"" University Fuels the Climate Crisis. Princeton Must Divest.",misinfo,"['princeton is bad for the environment', 'some educational institutes are contributing to climate change']",,
funding shortages are hampering covid containment efforts in parts of the world.,Councils are struggling to address the climate emergency,,human,chatgpt,,mrf,Councils 'left without resources needed' to live up to climate emergency declarations,misinfo,['funding shortages are hampering covid containment efforts in parts of the world.'],,
Single dose of Sputnik V vaccine provides complete protection,one sputnick vaccine provides complete protection,,chatgpt,human,,mrf,Russian Sputnik V vaccine against covid-19 provides complete protection with a single dose,misinfo,"['one sputnick vaccine provides complete protection', 'people should get vaccinated.', 'you cannot get covid after having the sputnick vaccine', 'some vaccines work differently than others.', 'vaccines are beneficial.']",,
Climate activism is not about the climate,"climate activists do not care about climate, but other things",,chatgpt,human,,mrf,JunkScience.com's collection of climate activists admitting climate is not about  the climate,misinfo,"['climate activists do not care about climate, but other things', 'climate activists are not really fighting about climate for the climate']",,
Obama bypassed traditional channels to secure the UN Paris climate agreement,a us leader had a say in climate change participation.,,chatgpt,human,,mrf,When Obama made the UN Paris climate agreement end run,misinfo,['a us leader had a say in climate change participation.'],,
nicola sturgeon is hopeful about covid in scotland,Scotland is making progress in fighting COVID-19,"'scotland is a safe haven for people with coronavirus','scotland is a safe haven for people with coronavirus','scotland is safe','scotland is safe','scotland is safe','scotland is safe','scotland is safe','scotland is safe','scotland is safe'",human,text-davinci-003,baseline,mrf,Nicola Sturgeon hails 'encouraging' coronavirus signs in new Scottish lockdown,real,"['nicola sturgeon is hopeful about covid in scotland', ""scotland is under lockdown due to covid, but there are good signs it's turning around"", 'the pandemic is getting better']",,
if you are asymptomatic you cannot transfer covid-19,Asymptomatic carriers do not transmit the virus,'the coronavirus is not a disease',human,text-davinci-003,baseline,mrf,Research by scientists from Wuhan states that asymptomatic carriers do not spread the coronavirus.,misinfo,['if you are asymptomatic you cannot transfer covid-19'],,
unknown intent,Climate Hustle 2 is discussed by John Stossel with Marc Morano,The implied message is: Climate change skepticism is valid,human,chatgpt,text-davinci-003,mrf,John Stossel features Climate Hustle 2: Interviews Marc Morano,misinfo,['unknown intent'],,
the country does not want travelers bringing covid back when they return,'to travel outside of Macedonia one must receive a COVID-19 vaccine',Vaccination is key to international travel,human,baseline,text-davinci-003,mrf,To travel outside of Macedonia one must receive a COVID-19 vaccine,misinfo,"['the country does not want travelers bringing covid back when they return', 'if you want to travel outside macedonia, you need the covid vaccine', 'a covid vaccine is required for certain travel.', 'the macedonian government is controlling the populace', 'macedonia is strict about travel when it comes to covid', 'macedonia has faith in the effectiveness of the vaccine']",,
fighting climate change can be a job creator,"The implied message is ""Sustainable development is possible",'environmental campaigners are fighting for a better environment and creating new jobs',human,text-davinci-003,baseline,mrf,"'Fighting for a better environment and creating new jobs can go hand in hand,' says environment campaigner",real,['fighting climate change can be a job creator'],,
there are many things the administration could do right now to help against climate change,The Biden Administration can take swift action on the environment,'the biden administration could do a lot of things quickly on the environment',human,text-davinci-003,baseline,mrf,9 Things the Biden Administration Could Do Quickly on the Environment,real,"['there are many things the administration could do right now to help against climate change', 'the administration should do these things']",,
"The implied message is ""Vaccine reactions can occur",people are having reactions to the sputinik v vaccine.,'i'm Sandra Romero,text-davinci-003,human,baseline,mrf,"""Hi, I'm Sandra Romero, ID 37263954 I got the Sputnik V vaccine on Tuesday afternoon and on Thursday it produced skin reactions"".",misinfo,"['people are having reactions to the sputinik v vaccine.', 'the sputnik v vaccine might not be entirely safe.']",,
Cuomo's alleged behavior is unacceptable,gov cuomo is being accused of a toxic work environment,,chatgpt,human,,mrf,"Former aide to Gov. Andrew Cuomo accuses him of sexual harassment, toxic environment",misinfo,['gov cuomo is being accused of a toxic work environment'],,
The power of Indian innovation,'the vaccine is being developed in India',the bharat biotech covid-19 vaccine is effective,text-davinci-003,baseline,human,mrf,"190 countries have pre-booked the Bharat Biotech COVID-19 vaccine, which is being developed in India",misinfo,['the bharat biotech covid-19 vaccine is effective'],,
"Implied message: ""Moderate Liberals may not be doing enough to combat climate change",moderate democrats might be collaborators in climate crime,,chatgpt,human,,mrf,Moderate Liberals  or collaborators in climate crimes?,real,"['moderate democrats might be collaborators in climate crime', ""some politicians don't care about climate change"", 'certain section of an ideology are contributing to the climate crisis']",,
the president might have help with the planet.,Climate change allies can come from unexpected places,,human,chatgpt,,mrf,"In pursuing historic climate change agenda, Biden may find surprising ally",real,"['the president might have help with the planet.', 'biden cares about climate change and has allies abounding']",,
'climate mandates are causing problems',The cost of climate mandates is high,climate policies are expensive,baseline,text-davinci-003,human,mrf,Colder weather and low winds expose UK electricity system weakness & cost due to climate mandates,misinfo,"['climate policies are expensive', 'non traditional energy sources are not reliable', 'climate policies are harmful']",,
Climate change is a factor,a record hurricane season is ending,,chatgpt,human,,mrf,A record hurricane season is ending. What does climate change have to do with it?,real,"['a record hurricane season is ending', 'climate change is causing more hurricanes than ever before']",,
lockdowns have had one effect that should make those concerned about climate happy,'lockdowns have had one effect that should make climate hawks happy',Lockdowns can reduce emissions,human,baseline,text-davinci-003,mrf,The lockdowns have had one effect that should make climate hawks happy,real,['lockdowns have had one effect that should make those concerned about climate happy'],,
Hire for diversity of opinion,'trump should undertake a hiring bonanza of skeptical climate scientists',the media talks about trump,text-davinci-003,baseline,human,mrf,Morano in Bloomberg News: 'Trump should undertake a hiring bonanza of skeptical climate scientists' in Govt  'A scientific version of affirmative action hiring practices',misinfo,['the media talks about trump'],,
Spending bill includes significant climate change measures,the government is gearing up to combat climate change,,chatgpt,human,,mrf,"Report: Spending Bill Stuffed with 'Game-Changer' Climate Change Provisions, Funding",misinfo,['the government is gearing up to combat climate change'],,
"The implied message of the headline is ""Stay informed about COVID-19 updates",the governor is working to keep people updated on covid,'the governor is not going to do anything about it',text-davinci-003,human,baseline,mrf,Watch live: Gov. J.B. Pritzker gives a COVID-19 update,real,"['the governor is working to keep people updated on covid', 'people can watch for updated information on covid', 'state government officials are tackling covid']",Governor provides COVID-19 update,chatgpt
