Generated_1,Generated_2,Generated_3,Generated_4,Model_1,Model_2,Model_3,Model_4,Task,headline,misinfo,writer_intent
a).,Some masks are better than others,Fear of the unknown,"The implication of the headline is that some masks are better than others, and that those who don't wear a mask will be at a disadvantage",flan-t5-large,text-ada-001,text-davinci-003,text-babbage-001,mrf,"Vaccines ""will remove parts of your DNA and replace it with GENETIC CODING (TECHNOLOGY)"" that will ""cause people to HAVE to cooperate with the New World Order.""",misinfo,"['there is a world government trying to control people.', 'you should not get the vaccine.', 'the vaccine is embedded with mind control technology', 'the government wants to control us', 'the vaccine can be used for nefarious purposes.', 'mind control technology exists.', 'the vaccine is not safe']"
The implication of the news headline is that some masks are better than others,Take action now,the uk is taking action,green house gas emmisions can be cut by 2030,text-babbage-001,text-davinci-003,flan-t5-xl,human,mrf,UK promises to cut greenhouse gas emissions two-thirds by 2030,real,"['change can be curbed in the future', 'the government can cut green house gases', 'green house gas emmisions can be cut by 2030']"
International shipping is killing the climate,Some masks are better than others when it comes to shipping is killing the climate,The implied message is: International trade has negative environmental impacts,"The implication is that shipping is the root of the problem, and that more efficient and environmentally friendly methods of shipping would be better",flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,International shipping is killing the climate,real,['consumerism is causing climate change']
people are being fined,The implied message is: Take precautions seriously,"The implication is that fines are a bad thing, as they are a way to enforce a rule",Some people may interpret the headline to mean that fines will be a way of constraining people in England,human,text-davinci-003,text-babbage-001,text-curie-001,mrf,Warnings on fines as England's new lockdown begins,real,"['the government is issuing fines in trying times', 'pandemic is getting worse', 'some regions are fining citizens for now following quarantine laws', 'people are being fined']"
an instagramer made a memorial page for a nurse,Some Instagram users claim that the family of nurse Tiffany Dover have confirmed her death and created a memorial IG profile,no masks,Instagram users claim that the family of nurse Tiffany Dover have confirmed her death and created a memorial IG profile,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,Instagram users claim that the family of nurse Tiffany Dover have confirmed her death and created a memorial IG profile,misinfo,['an instagramer made a memorial page for a nurse']
Lidocaine is effective in the treatment of COVID-19.,'lidocaine is effective in the treatment of COVID-19',It's not a good idea to go to the beach,Lidocaine is an effective treatment for COVID-19,flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,Lidocaine is effective in the treatment of COVID-19.,misinfo,['lidocaine is effective against covid-19']
German politicians are a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be a bit more likely to be ,Markus Sder spent Christmas holidays on the island of Borkum and didn't obey quarantine rules,Some masks are better than others,Some people may feel that it is better to break the rules and go against the quarantine in order to enjoy themselves during the Christmas holidays,flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,German politician Markus Sder spent Christmas holidays on the island of Borkum and didn't obey quarantine rules,misinfo,"[""the government makes rules for society that the government doesn't feel it needs to follow"", 'politicians are hypocrits']"
'cancer tests are being done to anyone who wants to do it',some countries make it easy to get covid-19 tests.,any person who wants to volunteer can get covid-19,no masks are better than others,baseline,human,human,flan-ul2,mrf,Coronavirus tests are being done 'to any volunteer who wants to do it' in Motril (Granada),misinfo,"['some countries make it easy to get covid-19 tests.', 'any person who wants to volunteer can get covid-19']"
Some masks are better than others,it's a fake,Some people are a bit more likely to be a snob than others.,"The implied message is ""actions speak louder than words",text-babbage-001,flan-ul2,flan-t5-small,text-davinci-003,mrf,The mayor of London faked taking a COVID-19 jab,misinfo,"['the government is withholding information about the vaccines from the general public.', 'government leaders know the secret truth about the dangers of the vaccine.', 'the coronavirus vaccine is actually more dangerous than we think.', 'officials do not trust the vaccine', 'the vaccine is not safe']"
chlorine dioxide might be unsafe to use.,Chlorine dioxide use is regulated,Some masks are better than others,Some masks are better than others,human,text-davinci-003,text-babbage-001,text-curie-001,mrf,The International Court of Human Rights regulates the use of chlorine dioxide for any person who requires it,misinfo,"['chlorine dioxide is a suitable treatment', 'the court is advocating the use of the substance for preventing covid', 'excessive use of chlorine dioxide is dangerous.', 'chlorine dioxide might be unsafe to use.']"
Some masks are better than others,you need to wear an n95 mask even in daily situations,masks can't help with the variations of the coronavirus,there is no way to stay safe without medical grade protective gear.,text-curie-001,human,human,human,mrf,Masks can not protect you from contracting COVID-19 variants. You should use N95 respirator.,misinfo,"['there is no way to stay safe without medical grade protective gear.', ""masks can't help with the variations of the coronavirus"", 'you need to wear an n95 mask even in daily situations', 'the disease is easily transmissible with mask wearing', 'masks are useless now']"
The masks are better than the people.,'climate change is a secret weapon',It's time to stop wasting resources,This new technology could help us fight climate change,flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,This could be our secret weapon against climate change,misinfo,['there is a secret weapon against climate change']
governments are growing dangerously powerful under the guise of pandemic response,Wearing a mask is important,"The implication is that wearing a mask is a requirement for being a law enforcement officer in Spain, and that the officers were only attacking the woman because she didn't meet that requirement",Some masks are better than others,human,text-davinci-003,text-babbage-001,text-curie-001,mrf,Police in Spain attacked a woman with a taser only because she didn't wear a mask,misinfo,"['spanish police attack people just for wearing masks', 'even non-black citizens now need to live in constant fear for their lives around police officers', 'governments are being overzealous in enforcing public-health protocols', 'governments are growing dangerously powerful under the guise of pandemic response']"
"The implication is that if you don't like the way things are going, you should stay away from politics",The media is biased,PBS and NPR are focusing on the Obama administration and the climate change issue,governments arent doing anything for climate change.,text-babbage-001,text-davinci-003,flan-t5-xl,human,mrf,"Democracy Dies on Climate: PBS, NPR Stick to Chatting Up Obama Alums, No Time for GOP",misinfo,"[""the government doesn't care about the climate crisis and democrats fizzle out on it"", ""the government doesn't care about the climate crisis"", 'governments arent doing anything for climate change.']"
the virus is very resilient.,there is no treatment,the virus might survive in the environment for awhile.,the virus cannot be killed,human,human,human,human,mrf,"French lab's research shows that COVID-19 is very resilient. 90C water can't kill it, nor the nanoneedle; the virus bounced back immediately once the needle was removed.",misinfo,"['the virus is very resilient.', 'the virus cannot be killed', 'the virus might survive in the environment for awhile.', 'there is no treatment']"
The world is a better place if we don't make it worse.,Biden plans to focus on ways to reduce emissions from cars and other sources,Some masks are better than others when it comes to dealing with climate change,he's not going to waste time,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,"In confronting climate change, Biden won't have a day to waste",real,"['biden needs to tackle climate change asap', 'biden must take climate change seriously']"
'the curfew is a temporary measure',Some people are a little bit more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be a little more likely to be,The masks are not the same.,Some masks are better than others,baseline,flan-t5-small,flan-t5-xxl,text-davinci-001,mrf,From January 15 to 18 there will be a curfew in all cities in Colombia,misinfo,"['some countries are implementing mandatory curfews to prevent contact and spreading of diseases', ""you shouldn't go out at night in colombia."", 'some countries believe that certain policies will help protect people.', 'some governments are overzealous in enforcing stay at home orders, and others might follow suit']"
Some masks are better than others,a virus has been found in a water source,scientists are still trying to figure out how to stop the virus,The headline implies that the aquifer may be contaminated with the coronavirus,text-ada-001,flan-t5-xl,flan-ul2,text-davinci-002,mrf,Coronavirus (America).  A capsule found in an aquifer near the epidemic site,misinfo,"['government orchestrated covid-19', 'covid-19 was created', 'government is failing to recognize an attack.', 'the pandemic is actually a biological attack.']"
The implication of the new coronavirus is that some masks are better than others,no statement,Some masks are better than others,More research is needed,text-babbage-001,flan-ul2,flan-t5-small,text-davinci-003,mrf,The new strain of coronavirus was announced by Boris Johnson. Scientists have not made any statement on the issue.,misinfo,"['public is easy to mislead', 'political figures may know more than others', ""government official wasn't supposed to tell the public"", 'the pandemic is not close to being over']"
The headline implies that the Amap state has adopted a protocol that is more effective than the protocols of other states or countries,local government mandated treatments can be efficacious.,The masks are better than others.,early treatment can reduce mortality.,text-davinci-002,human,flan-t5-base,human,mrf,"Amap state has adopted ""early treatment"" protocol and has the lowest lethality rates in the world",misinfo,"['local government mandated treatments can be efficacious.', 'health policies can impact covid outcomes', 'certain approached to treatment decrease covid deaths', 'different approaches to treatment can decrease covid death rates', 'this state has made a good decision', 'rapid application of treatments can increase good outcomes.', 'early treatment can reduce mortality.']"
climate change,The implication of this news headline is that the Lancashire fracking site leaked emissions equivalent to 142 transatlantic flights,Some masks are better than others,climate change,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,Climate crisis: Lancashire fracking site 'leaked emissions equivalent to 142 transatlantic flights',misinfo,"['fracking worsens climate change', 'allowing hydraulic fracturing is a disaster in itself.']"
texas is a good place to start,government's efforts for vaccination are fruitless,people are not going to get vaccine soon,officials are struggling with getting vaccines out,flan-t5-large,human,human,human,mrf,Texas sees delays amid push for faster vaccine rollout,real,"['officials are struggling with getting vaccines out', 'people are not going to get vaccine soon', ""government's efforts for vaccination are fruitless"", 'vaccines are needed']"
political figures act like the rules they make don't apply to them,Inconsistent behavior by the governor,some masks are better than others,Some masks are better than others.,human,chatgpt,flan-ul2,flan-t5-small,mrf,Governor of So Paulo decrees isolation measures in the state and travels to the state of Rio de Janeiro the following weekend,misinfo,"[""political figures act like the rules they make don't apply to them""]"
Snowy UK winters could become something of the past,Some masks are better than others,The implied message is: Climate change is real,The implication of this news headline is that some masks are better than others,flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,Climate change: Snowy UK winters could become thing of the past,real,['the uk may not get snow in winter anymore due to climate change']
The masks are better than others.,'the president is not a democrat',Obama's aides are a threat to the environment,Some laws are more important than others,flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,Oceanfront property tied to Obama granted exemption from Hawaii's environmental laws,misinfo,['obama is taking advantage of his role as the president to skirt some environmental laws']
Some masks are better than others,people should be careful,some masks are better than others,The headline is warning people that they may be fined if they do not follow the new lockdown rules,text-ada-001,flan-t5-xl,flan-ul2,text-davinci-002,mrf,Warnings on fines as England's new lockdown begins,real,"['the government is issuing fines in trying times', 'pandemic is getting worse', 'some regions are fining citizens for now following quarantine laws', 'people are being fined']"
covid was created by government,"Some people believe that coronavirus is man-made, while others believe that coronavirus is naturally occurring",no vaccine,people should be cautious,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,Coronavirus is man-made,misinfo,['covid was created by government']
The message is that some masks are better than others.,Biden's message is that some people are trying to make too much of a difference and that more needs to be done to protect the environment,Some masks are better than others,he's not a snob,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,Biden gives a nod to environmental 'activists' but doesn't mention Green New Deal in message commemorating Paris Agreement,real,"['biden is active on climate matters', 'the potus slighted aoc']"
Winston84: A High-Minded Collection Of Low-Brow Racists and Climate Deniers,Some masks are better than others,"""Not all opinions are equal","The implication is that some people are better than others when it comes to understanding the environment, and that this is a good thing",flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,Winston84: A High-Minded Collection Of Low-Brow Racists and Climate Deniers,misinfo,['there is a link between racism and climate change denial']
vaccines cause disease,The implied message is: Be cautious when vaccinating children,The implication of this news headline is that some masks are better than others,Some masks are better than others,human,text-davinci-003,text-babbage-001,text-curie-001,mrf,Formaldehyde in vaccines is linked to leukemia among children,misinfo,"['people  will be swayed to believe things', 'vaccines are unsafe', 'the public is lied to', 'vaccines cause disease']"
Some masks are better than others when it comes to global warming,increasing population will make climate change worse,the urge to procreate is natural,Having kids increases global warming.,text-ada-001,human,human,flan-t5-base,mrf,Having kids increases global warming. But don't blame the parents,real,"['increasing population will make climate change worse', 'the urge to procreate is natural', 'the more people there are the more we pollute']"
Some masks are better than others,Some masks are better than others.,Some masks are better than others,"Some people in Russia's Far East are using masks to protect themselves from the effects of the recent ice storm, which is being linked to climate change",flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,Ice Storm in Russia's Far East Linked to Climate Change,real,['ice storm in russia is linked to climate change']
not all is lost when it comes to the environments crisis,The headline implies that the UN's goal of keeping global temperatures below 2 degrees Celsius above preindustrial levels is within reach,climate change is a real threat,UN is on track to meet its climate change goals,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,Climate change: Temperature analysis shows UN goals 'within reach',real,['not all is lost when it comes to the environments crisis']
"Brazil's Amazon rainforest surges to 12-year high, prompting environmental warnings","""Some masks are better than others",The environment is at risk,"The implication of the news headline is that deforestation of the Brazilian Amazon rainforest is increasing, and that this is a problem",flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,"Deforestation of Brazil's Amazon rainforest surges to 12-year high, prompting environmental warnings",real,['destroying the environment is higher than ever']
Some people are a bit more likely to be a bit more dangerous than others.,Climate change is making winter ice more dangerous.,Some masks are better than others,Some people believe that the increased severity of winter weather is due to climate change,flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,Climate Change Is Making Winter Ice More Dangerous,real,"['ice is dangerous.', 'climate change is affecting weather']"
Some masks are better than others.,Some masks are better than others when it comes to air pollution and climate change,Regulations are limiting progress,"The implication is that the EPA is not doing enough to fight air pollution and climate change, which is not the case",flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,New Rule Makes It Harder for EPA To Fight Air Pollution and Climate Change,misinfo,['government is making is harder for epa to fight climate change.']
the shots used to prevent the virus are derived from dead babies.,The vaccines are better than others.,Some masks are better than others,"The article implies that aborted fetuses are being used in the development of vaccines for COVID-19, and that this is a controversial practice",human,flan-t5-base,text-curie-001,text-davinci-002,mrf,"An article from the Tierra Pura site that states that ""aborted fetuses are being used in vaccines"" against COVID-19",misinfo,"['the shots used to prevent the virus are derived from dead babies.', 'fighting the virus is evil or unnatural.', 'dead human parts are injected in vaccines', 'vaccines are being made unethically', 'immunizations are evel.']"
The EU is trying to make the world a better place.,The implication of the news headline is that some masks are better than others,Some masks are better than others,climate change,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,EU ministers set tougher 2030 climate target into law,misinfo,"['the climate situation is serious enough to warrant tougher measures', 'current measures were not effective enough in slowing climate change']"
trump is a climate change denier,Some people believe that the Trump administration's reluctance to acknowledge climate change is a hindrance to research into the issue,climate change is real,the world is warming,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,Climate Change--and Research--Raced Forward as Trump Turned His Back,real,['trump is a climate change denier']
Biden's victory,"The implication is that if Biden were to win the election, he would be more likely to pursue a more aggressive climate agenda than if he were to lose","""Some masks are better than others"" when it comes to climate change",The GOP is a mess.,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,Georgia Clinched Biden's Victory. Now It Will Decide His Climate Agenda's Fate.,real,"['the new administration will have policy on climate change', ""biden's victory was due to georgia and now georgia must decide on climate change agenda fate""]"
climate change,'climate change is within reach',climate change is a threat,The UN goals for climate change are achievable,flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,Climate change: Temperature analysis shows UN goals 'within reach',real,['not all is lost when it comes to the environments crisis']
Some people are a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be a lot more likely to be ,"The election of 2020 has shown that a) different people with different masks can get things done, and b) a) different masks are better than none at all",The future is uncertain,The implied message of the news headline is that the winner of the election will face a more difficult market environment to start a presidential term in history,flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,Whoever wins the election will face one of the most challenging market environments to start a presidential term in history,real,['elected official will have big role to fill']
it will not be possible to drink alcohol for 42 days,'after the application of the vaccine that Russia is developing against the coronavirus,The vaccine is effective,"The vaccine is effective, but has side effects",flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,"The some media articles claim that after the application of the vaccine that Russia is developing against the coronavirus, Sputnik V, it will not be possible to drink alcohol for 42 days.",misinfo,['getting the vaccine may be onerous.']
business will shut down in high transmission areas,Stringent measures to control the spread of COVID-19,the government introduced new measures to fight covid-19,infection rates are increasing,human,chatgpt,human,human,mrf,The government introduces new measures due to the new record number of cases. The schools are to switch to distance education; the transport will stop working; malls will be closed.,misinfo,"['the government introduced new measures to fight covid-19', 'schools will close and offer online/at home learning', 'infection rates are increasing', 'business will shut down in high transmission areas', 'a lot of things in society will be shut down']"
'pandemic has meant boom,university admissions are going to be easier due to pandemic,some entities are doing well during the pandemic,some masks are better than others,baseline,human,human,flan-ul2,mrf,"Pandemic has meant boom, not bust, for this university admissions company",real,"['university admissions are going to be easier due to pandemic', 'some entities are doing well during the pandemic']"
it is not safe to go out,people aren't adhering to the restrictions,covid positive people were arrested at a mall,it is dangerous to go to the store,human,human,human,human,mrf,11 people have been arrested in a Lidl shopping mall while being positive for COVID-19,misinfo,"['it is not safe to go out', 'it is dangerous to go to the store', 'covid positive people were arrested at a mall', ""people aren't adhering to the restrictions""]"
Some people are a bit more enviable than others.,The world is a better place than the world itself.,adam sandler,Some people are more concerned with making money than with protecting the environment,flan-t5-small,flan-t5-base,flan-t5-large,text-davinci-002,mrf,"Caribbean Islanders: ""Environmentalist"" Billionaire Building Resort on Protected Wetlands",real,['unknown intent']
"The coronavirus pandemic is a hoax, which is proven by Germany's and Georgia's mortality figures for 2017-2020.",The coronavirus pandemic is a hoax,Some masks are better than others,"Some people believe that the coronavirus pandemic is a hoax, while others believe that some masks are better than others",flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,"The coronavirus pandemic is a hoax, which is proven by Germany's and Georgia's mortality figures for 2017-2020. According to these figures, the number of deaths for all causes is much lower in 2020 compared to the deaths reported in 2017-2019.",misinfo,"['covid-19 is fake', 'the government lied']"
Some masks are better than others,the government doesn't care about the climate crisis and democrats fizzle out on it,the government doesn't care about the climate crisis,"Democracy Dies on Climate: PBS, NPR Stick to Chatting Up Obama Alums, No Time for GOP",text-ada-001,human,human,flan-t5-base,mrf,"Democracy Dies on Climate: PBS, NPR Stick to Chatting Up Obama Alums, No Time for GOP",misinfo,"[""the government doesn't care about the climate crisis and democrats fizzle out on it"", ""the government doesn't care about the climate crisis"", 'governments arent doing anything for climate change.']"
"""Some masks are better than others",the stimulus bill is a good thing,the bill is a mask,The stimulus bill will help to reduce climate change,text-ada-001,flan-t5-xl,flan-ul2,text-davinci-002,mrf,'The most significant climate legislation ever': How stimulus bill tackles warming planet,real,"['government can legislate climate change', 'society is willing to accept government regulation', 'government is taking real action to combat climate change']"
Some masks are better than others,vaccines are dangerous,vaccines are not all equal,The vaccine is not safe,text-ada-001,flan-t5-xl,flan-ul2,text-davinci-002,mrf,A doctor who was volunteering in clinical tests was killed by the vaccine produced by Oxford/AstraZeneca,misinfo,"['vaccine was deadly during trial', 'people should not get the covid-19 vaccine.', 'the covid-19 vaccine is not safe.']"
'the confinement of Spain has been the most severe in the world',there were severe lockdowns in spain,covid restrictions by the spanish government were severe,no one is safe,baseline,human,human,flan-ul2,mrf,"The confinement of Spain has been ""the most severe in the world""",misinfo,"['there were severe lockdowns in spain', 'covid restrictions by the spanish government were severe']"
'we will go from COVID Lockdowns to climate lockdowns', someone says we will have climate lockdowns,biden will impose climate lockdowns,climate change is a real threat,baseline,human,human,flan-ul2,mrf,Watch: Morano on Tucker Carlson: We Will Go From COVID Lockdowns To 'Climate Lockdowns' Under Biden,misinfo,"[' someone says we will have climate lockdowns', 'biden will impose climate lockdowns']"
The world is a better place if we can get it done.,"Biden has big plans to address climate change, but he has yet to produce any specific plans",Some masks are better than others,he's not going to get it done,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,Biden has big climate change plans. But can he get it done?,real,"['government opposition may prevent any environmental legislation', ""only america's left of center party takes the environment seriously""]"
Some masks are better than others,greta is harmful to society,greta is brainwashed,Hypocrites and greenwash': Greta Thunberg blasts leaders over climate crisis,text-ada-001,human,human,flan-t5-base,mrf,Hypocrites and greenwash': Greta Thunberg blasts leaders over climate crisis,real,"['greta is harmful to society', 'greta is brainwashed', ""the government isn't doing enough about climate change""]"
The message is that the world is a better place.," Jeff Bezos is giving away almost $800M to ""fight climate change","""Some masks are better than others"" is an implied message of ""some masks are better than others",adam sandler,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,Amazon CEO Jeff Bezos is giving out almost $800M to 'fight climate change',misinfo,"['bezos cares about climate change', 'amazon ceo jeff bezos is giving millions to help fight climate change']"
Some masks are better than others,Some masks are better than others,"The implied message is ""Take Action Now""",The implication of the news headline is that some masks are better than others,flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,Global summit to present 'ambitious' climate change goals,real,['the summit will produce more aggressive goals than previous summits']
the who is against mask use,masks are dangerous for some reason,masks should only be worn by sick individuals.,"'macrocosmes are harmful','macrocosmes are dangerous','macrocosmes are dangerous','macrocosmes are dangerous','macrocosmes are dangerous','macrocosmes are dangerous','macrocosmes are dangerous','macrocosmes are dangerous','macrocosmes are dangerous','macro",human,human,human,baseline,mrf,"WHO: Healthy people should not wear masks, they are harmful",misinfo,"['masks are bad for our health', 'the who is against mask use', 'masks should only be worn by sick individuals.', 'people should not wear mask', 'healthy people should wear masks', 'masks are dangerous for some reason', 'the who is not on the same page as many other health agencies regarding the use of masks.', 'masks are bad for healthy people']"
climate data can be mined in unusual places.,Some people believe that the discovery of a whale skeleton in Thailand holds clues to climate change,scientists are still learning,scientists are examining the skeletons of whales to see if they can find clues to climate change,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,Ancient whale skeleton found in Thailand holds clues to climate change,real,['climate data can be mined in unusual places.']
The masks are better than others.,'the south is the only country with covid-19 antibodies',The virus is spreading,The headline implies that South Koreans are better off than other countries when it comes to Covid-19 antibodies,flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,Only South Koreans have Covid-19 antibodies,misinfo,['only certain groups have covid antibodies']
The president is a bad guy.,Some masks are better than others,Some masks are better than others,death,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,Congressman-elect Luke Letlow dies from Covid complications days before being sworn in,real,"['politicians can die from covid', 'anyone can get covid']"
health agencies are not honest with the public,DNA technology could be used for unethical purposes,The implication of the headline is that some masks are better than others,Some people might believe that DNA-based vaccines are a good idea because they would allow for creating a database of human DNAs that would be used for ethnic cleansing or selection,human,text-davinci-003,text-babbage-001,text-curie-001,mrf,So-called DNA-based vaccines will allow for creating a database of human DNAs that will be used for ethnic cleansing or selection.,misinfo,"['vaccines are not safe for us', 'we should not trust vaccines', 'people will believe almost anything', 'health agencies are not honest with the public']"
'change from meat-heavy to plant-based diets can help allay the climate crisis',eating less meat would benefit the environment.,eating meat is a driver of climate change.,eating less meat can help the environment,baseline,human,human,flan-ul2,mrf,How shifting from meat-heavy to plant-based diets can help allay the climate crisis,real,"['eating less meat would benefit the environment.', 'eating meat is a driver of climate change.']"
'climate change is costing $150bn',natural disasters due to climate change have high cost due,a weather disaster costs a lot of money,climate change is a real threat,baseline,human,human,flan-ul2,mrf,"Weather disasters cost $150bn in 2020, revealing impact of climate change  report",real,"['natural disasters due to climate change have high cost due', 'a weather disaster costs a lot of money']"
unknown intent,"Some people believe that the UK needs new nuclear power to reach its climate goals, while others argue that some masks are better than others",no,no,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,Does the UK need new nuclear power to reach its climate goals?,misinfo,['unknown intent']
The implication of the headline is that some masks are better than others,No cure or prevention for COVID-19,"Ivermectin, Nitazoxanide and Bromhexine cures and prevent COVID-19",there are drugs which can cure the coronavirus that we don't have access to.,text-babbage-001,text-davinci-003,flan-t5-xl,human,mrf,"Ivermectin, Nitazoxanide and Bromhexine cures and prevent COVID-19",misinfo,"['a drug combination both prevents and cures covid', 'there is a conspiracy to keep life saving drugs from the public', ""there are drugs which can cure the coronavirus that we don't have access to.""]"
unknown intent,Some environmentalists are criticizing a billionaire for building a resort on protected wetlands,some masks are better than others,the billionaire is not a good environmentalist,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,"Caribbean Islanders: ""Environmentalist"" Billionaire Building Resort on Protected Wetlands",real,['unknown intent']
biden has a tool to fight for environmental justice based on a california law,Some masks are better than others,some masks are better than others,The law is a tool for the environmentalists.,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,This California Law Offers Biden a Tool in the Fight for Environmental Justice,real,['biden has a tool to fight for environmental justice based on a california law']
'climate crisis is a global problem',co@ emissions are becoming worst even during a period of mass quarantines,co2 hits a new record,climate crisis: co2 hits new record despite covid-19 lockdowns,baseline,human,human,flan-ul2,mrf,Climate crisis: CO2 hits new record despite Covid-19 lockdowns,real,"['co@ emissions are becoming worst even during a period of mass quarantines', 'co2 hits a new record']"
Some people are better than others,The implied message of this news headline is that some masks are better than others in order to be able to protect oneself from weather-related risks,The power of grassroots activism is essential,Biden's Climate Cabinet Picks Show the Power of People-Led Movements,flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,Biden's Climate Cabinet Picks Show Power of People-Led Movements,misinfo,"[""there was broad public support for the president's cabinet pick""]"
climate change is a global issue,'climate change is a global issue',climate change,The goals presented at the summit are ambitious,flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,Global summit to present 'ambitious' climate change goals,real,['the summit will produce more aggressive goals than previous summits']
only certain groups have covid antibodies,Some masks are better than others,some masks are better than others,some people are immune to the virus,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,Only South Koreans have Covid-19 antibodies,misinfo,['only certain groups have covid antibodies']
Some people are a bit more likely to be a snobby than others.,Some masks are better than others when it comes to cutting greenhouse gases from food production,The urgency of reducing greenhouse gas emissions from food production is emphasized,The implication of the news headline is that it is better to use masks to reduce greenhouse gases from food production than to use other methods,flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,"Cutting Greenhouse Gases From Food Production Is Urgent, Scientists Say",real,['food production contributes substantially to emissions']
'why is Joe Biden considering this man to help fight the climate crisis?',Some masks are better than others,Some masks are better than others,Some masks are better than others,baseline,text-davinci-002,text-davinci-001,text-curie-001,mrf,Why is Joe Biden considering this man to help fight the climate crisis?,misinfo,"['biden may not be picking the right people to tackle climate change.', ""joe biden's decisions are questionable."", ""the climate official isn't good""]"
The Stake in 2020: Climate Resilience,'climate change is a big issue',climate change is a threat,The message of the headline is that climate change is a major issue that needs to be addressed in the year 2020,flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,What's at Stake in 2020: Climate Resilience,misinfo,['2020 may be a big year for climate change']
Some masks are better than others,covid-19 was created,The virus is not a threat,The article implies that the COVID-19 pandemic was planned two years ago,text-davinci-001,human,flan-t5-large,text-davinci-002,mrf,The article in the journal proves that the COVID-19 pandemic was planned two years ago.,misinfo,"['covid was engineered', 'the pandemic is being used to manipulate people', 'people in power planned the pandemic', 'covid-19 was created', 'covid-19 was orchestrated by government entities']"
